交易时间,交易状态,宗地号,土地位置,起始价,土地用途,土地面积,交易方式,交易类型,宗地,发布时间,交易状态,中标人/竞得人,成交价(元),保证金 (元),起始价 (元),竞价阶梯 (元),封顶价 (元),竞买申请截止时间,竞买人数,正文标题,公告期,挂牌开始时间,挂牌结束时间,宗地代码/地块宗地编号,宗地号,土地位置,土地用途,准入行业类别,土地面积/土地面积(平方米),建筑面积(平方米)/总建筑面积,土地使用年期/土地使用年限,土地发展建设现状,容积率,挂牌起始价(人民币万元),竞买(投标)保证金(人民币万元),土地使用年限(年),保证金截止时间,地址,电话,宗地号,土地面积,建筑面积,容积率,建筑覆盖率,建筑高度,用途,使用年限,区域,位置,绿地率,建筑楼层,竞买人,竞买出价(元),竞价时间,状态,正文标题,发布日期,宗地号,竞得人,中标人,位置,土地用途,土地面积,建筑面积,起始价,成交价,溢价率,综合楼面单价,公告编号,报名时间,爬取时间,爬取地址url,唯一标识,附件,
2020-05-08 15:00,已成交,A907-0164,龙华区观湖街道,766000000,商业用地,13548.76,挂牌,土地出让,宗地：A907-0164,2020-04-03,已成交,							深圳荣超新能源有限公司		,		790 000 000,			154 000 000	,		766 000 000,			5 000 000	,,			2020-05-07 16:30:00	,		多人竞买,深圳市土地使用权出让公告,2020年4月3日起至2020年4月27日止,2020年4月28日,2020年5月8日15时,440306403015GB00616,A907-0164,龙华区观湖街道,商业用地,,13548.76,,,,,76600,15400,,2020年5月7日16时30分,深圳市龙华区清湖路壹点规划馆|深圳市福田区红荔西路8007号土地房产交易大厦3楼,0755-23335733|（0755）83785995,A907-0164,13 548.76㎡,,                                                        	 							,None,None,商业用地,40年,龙华区,,None,None,深圳荣超新能源有限公司|深圳市龙华建设发展有限公司,790000000|766000000,2020-05-08 15:02:49|2020-05-08 14:14:54,成交价|有效出价,A907-0164宗地出让结果,2020-05-08,A907-0164,,,,,,,,,,11662.24,深土交告〔2020〕7号,2020年4月3日起至2020年4月27日止,2020-05-13 17:05:00,https://www.sz68.com/trade/download?module=base&service=BaseDownload&method=downloadFile&lobId=20200403093529998653137510225041,2f641696443ec3b98fcdb52280d55ab5,土地模块|深土交告[2020]7号.docx|挂牌须知.doc|成交确认书.doc|宗地图.pdf|出让合同.docx|地块位置示意图.docx|
2019-12-20 15:00,已成交,G02304-0008,龙岗区宝龙街道高科大道与宝龙三路交汇处东北侧,22800000,工业用地,5472.34,挂牌,土地出让,宗地：G02304-0008,2019-11-21,已成交,							深圳市超频三科技股份有限公司		,		22 800 000,			4 560 000	,		22 800 000,			500 000	,,			2019-12-19 16:30:00	,		一人竞买,深圳市土地使用权出让公告                ,2019年11月21日至2019年12月10日,2019年12月11日,2019年12月20日15时,440307005007GB00179                            ,G                            02304-0005                            ,龙岗区宝龙街道                            ,一类工业用地                            ,战略性新兴产业之A06新一代信息技术产业                            ,6171.01                            ,,,,,2490                            ,498                            ,,2019年12月19日16时30分,深圳市龙岗中心城建设大厦|深圳市龙岗区清林路海关大厦东座1152|深圳市福田区红荔西路8007号土地房产交易大厦3楼,（0755）28920144|（0755）28949299|（0755）83785995,G02304-0008,5 472.34㎡,25170.0平方米,                                                        	 ≤4.6							,≤45％,None,工业用地,20年,龙岗区,龙岗区宝龙街道高科大道与宝龙三路交汇处东北侧,>30％,None,深圳市超频三科技股份有限公司,22800000,2019-12-17 15:07:40,成交价,G02304-0008宗地出让结果,2019-12-20,G02304-0008,深圳市超频三科技股份有限公司,,龙岗区宝龙街道高科大道与宝龙三路交汇处东北侧,工业用地,5472.34平方米,25170.0平方米,2 280万元,2 280万元,-,905.84元/平方米,深土交告〔2019〕30号,2019年11月21日至2019年12月10日,2020-05-13 17:05:05,https://www.sz68.com/trade/download?module=base&service=BaseDownload&method=downloadFile&lobId=20191216111837382616528062606147,16d67120dca4048a6388062762e7d6d5,土地模块|挂牌（网上注册）须知.doc|成交确认书.doc|深圳市龙岗区产业发展监管协议书（宝龙05-04-02-04招拍挂地块-G02304-0008宗地）.doc|竞买申请书.doc|深土交告（2019）30号.docx|G02304-0008.pdf|深土交告[2019]30号.docx|出让合同.docx|
2019-12-20 15:00,已成交,G02304-0008,龙岗区宝龙街道高科大道与宝龙三路交汇处东北侧,22800000,工业用地,5472.34,挂牌,土地出让,宗地：G02304-0008,2019-11-21,已成交,							深圳市超频三科技股份有限公司		,		22 800 000,			4 560 000	,		22 800 000,			500 000	,,			2019-12-19 16:30:00	,		一人竞买,深圳市土地使用权出让公告                ,2019年11月21日至2019年12月10日,2019年12月11日,2019年12月20日15时,440307005007GB00180                            ,G02304-0006                            ,龙岗区宝龙街道                            ,一类工业用地                            ,战略性新兴产业之A06新一代信息技术产业                            ,6966.34                            ,,,,,2810                            ,562                            ,,2019年12月19日16时30分,深圳市龙岗中心城建设大厦|深圳市龙岗区清林路海关大厦东座1152|深圳市福田区红荔西路8007号土地房产交易大厦3楼,（0755）28920144|（0755）28949299|（0755）83785995,G02304-0008,5 472.34㎡,25170.0平方米,                                                        	 ≤4.6							,≤45％,None,工业用地,20年,龙岗区,龙岗区宝龙街道高科大道与宝龙三路交汇处东北侧,>30％,None,深圳市超频三科技股份有限公司,22800000,2019-12-17 15:07:40,成交价,G02304-0008宗地出让结果,2019-12-20,G02304-0008,深圳市超频三科技股份有限公司,,龙岗区宝龙街道高科大道与宝龙三路交汇处东北侧,工业用地,5472.34平方米,25170.0平方米,2 280万元,2 280万元,-,905.84元/平方米,深土交告〔2019〕30号,2019年11月21日至2019年12月10日,2020-05-13 17:05:05,https://www.sz68.com/trade/download?module=base&service=BaseDownload&method=downloadFile&lobId=20191216111837382616528062606147,16d67120dca4048a6388062762e7d6d5,土地模块|挂牌（网上注册）须知.doc|成交确认书.doc|深圳市龙岗区产业发展监管协议书（宝龙05-04-02-04招拍挂地块-G02304-0008宗地）.doc|竞买申请书.doc|深土交告（2019）30号.docx|G02304-0008.pdf|深土交告[2019]30号.docx|出让合同.docx|
2019-12-20 15:00,已成交,G02304-0008,龙岗区宝龙街道高科大道与宝龙三路交汇处东北侧,22800000,工业用地,5472.34,挂牌,土地出让,宗地：G02304-0008,2019-11-21,已成交,							深圳市超频三科技股份有限公司		,		22 800 000,			4 560 000	,		22 800 000,			500 000	,,			2019-12-19 16:30:00	,		一人竞买,深圳市土地使用权出让公告                ,2019年11月21日至2019年12月10日,2019年12月11日,2019年12月20日15时,440307005007GB00181                            ,G02304-0007                            ,龙岗区宝龙街道                            ,一类工业用地                            ,战略性新兴产业之A01生物产业                            ,9967.12                            ,,,,,3730                            ,746                            ,,2019年12月19日16时30分,深圳市龙岗中心城建设大厦|深圳市龙岗区清林路海关大厦东座1152|深圳市福田区红荔西路8007号土地房产交易大厦3楼,（0755）28920144|（0755）28949299|（0755）83785995,G02304-0008,5 472.34㎡,25170.0平方米,                                                        	 ≤4.6							,≤45％,None,工业用地,20年,龙岗区,龙岗区宝龙街道高科大道与宝龙三路交汇处东北侧,>30％,None,深圳市超频三科技股份有限公司,22800000,2019-12-17 15:07:40,成交价,G02304-0008宗地出让结果,2019-12-20,G02304-0008,深圳市超频三科技股份有限公司,,龙岗区宝龙街道高科大道与宝龙三路交汇处东北侧,工业用地,5472.34平方米,25170.0平方米,2 280万元,2 280万元,-,905.84元/平方米,深土交告〔2019〕30号,2019年11月21日至2019年12月10日,2020-05-13 17:05:05,https://www.sz68.com/trade/download?module=base&service=BaseDownload&method=downloadFile&lobId=20191216111837382616528062606147,16d67120dca4048a6388062762e7d6d5,土地模块|挂牌（网上注册）须知.doc|成交确认书.doc|深圳市龙岗区产业发展监管协议书（宝龙05-04-02-04招拍挂地块-G02304-0008宗地）.doc|竞买申请书.doc|深土交告（2019）30号.docx|G02304-0008.pdf|深土交告[2019]30号.docx|出让合同.docx|
2019-12-20 15:00,已成交,G02304-0008,龙岗区宝龙街道高科大道与宝龙三路交汇处东北侧,22800000,工业用地,5472.34,挂牌,土地出让,宗地：G02304-0008,2019-11-21,已成交,							深圳市超频三科技股份有限公司		,		22 800 000,			4 560 000	,		22 800 000,			500 000	,,			2019-12-19 16:30:00	,		一人竞买,深圳市土地使用权出让公告                ,2019年11月21日至2019年12月10日,2019年12月11日,2019年12月20日15时,440307005007GB00182                            ,G02304-0008                            ,龙岗区宝龙街道                            ,一类工业用地                            ,战略性新兴产业之绿色低碳产业                            ,5472.34                            ,,,,,2280                            ,456                            ,,2019年12月19日16时30分,深圳市龙岗中心城建设大厦|深圳市龙岗区清林路海关大厦东座1152|深圳市福田区红荔西路8007号土地房产交易大厦3楼,（0755）28920144|（0755）28949299|（0755）83785995,G02304-0008,5 472.34㎡,25170.0平方米,                                                        	 ≤4.6							,≤45％,None,工业用地,20年,龙岗区,龙岗区宝龙街道高科大道与宝龙三路交汇处东北侧,>30％,None,深圳市超频三科技股份有限公司,22800000,2019-12-17 15:07:40,成交价,G02304-0008宗地出让结果,2019-12-20,G02304-0008,深圳市超频三科技股份有限公司,,龙岗区宝龙街道高科大道与宝龙三路交汇处东北侧,工业用地,5472.34平方米,25170.0平方米,2 280万元,2 280万元,-,905.84元/平方米,深土交告〔2019〕30号,2019年11月21日至2019年12月10日,2020-05-13 17:05:05,https://www.sz68.com/trade/download?module=base&service=BaseDownload&method=downloadFile&lobId=20191216111837382616528062606147,16d67120dca4048a6388062762e7d6d5,土地模块|挂牌（网上注册）须知.doc|成交确认书.doc|深圳市龙岗区产业发展监管协议书（宝龙05-04-02-04招拍挂地块-G02304-0008宗地）.doc|竞买申请书.doc|深土交告（2019）30号.docx|G02304-0008.pdf|深土交告[2019]30号.docx|出让合同.docx|
2020-02-19 15:00,已成交,T107-0087,南山区粤海街道,974000000,商业办公,3012.5,挂牌,土地出让,宗地：T107-0087,2020-01-20,已成交,							华强方特文化科技集团股份有限公司		,		974 000 000,			194 800 000	,		974 000 000,			5 000 000	,,			2020-02-18 16:30:00	,		一人竞买,深圳市土地使用权出让公告,2020年1月20日起至2020年2月9日止,2020年2月10日,2020年2月19日15时,  440305005007GB00179              ,  T107-               0087              ,  南山区粤海街道              ,  商业               用地              ,  A0506数字             动漫设计             制作服务、数字文化技术创新服务              ,  3012.5              ,,,,,  97400              ,  19480              ,,2020年2月18日16时30分,深圳市南山区深南大道10138号|深圳市南山区桃园路南山区委大楼A座8楼|深圳市福田区红荔西路8007号土地房产交易大厦3楼,（0755）26978448|（0755）26563896|（0755）83785995,T107-0087,3 012.5㎡,45000.0平方米,                                                        	 ≤14.94							,None,None,商业办公,30年,南山区,南山区粤海街道,None,None,华强方特文化科技集团股份有限公司,974000000,2020-02-18 16:29:16,成交价,T107-0087宗地出让结果,2020-02-19,T107-0087,华强方特文化科技集团股份有限公司,,南山区粤海街道,商业办公,3012.5平方米,45000.0平方米,97 400万元,97 400万元,-,21644.44元/平方米,深土交告〔2020〕3号,2020年1月20日起至2020年2月9日止,2020-05-13 17:05:50,https://www.sz68.com/trade/download?module=base&service=BaseDownload&method=downloadFile&lobId=20200120091913758437038825183251,d0fffc5e08967c8fd52e4b1a7ec67525,土地模块|深土交告[2020]3号.docx|须知.doc|竞买申请书.doc|成交确认书.doc|宗地图.pdf|出让合同.docx|监管协议.docx|
2020-02-19 15:00,已成交,T107-0087,南山区粤海街道,974000000,商业办公,3012.5,挂牌,土地出让,宗地：T107-0087,2020-01-20,已成交,							华强方特文化科技集团股份有限公司		,		974 000 000,			194 800 000	,		974 000 000,			5 000 000	,,			2020-02-18 16:30:00	,		一人竞买,深圳市土地使用权出让公告,2020年1月20日起至2020年2月9日止,2020年2月10日,2020年2月19日15时,  440305005007GB00180              ,  T107-               0088              ,  南山区粤海街道              ,  商业               用地              ,  A0315电子商务交易平台              ,  2911.25              ,,,,,  103200              ,  20640              ,,2020年2月18日16时30分,深圳市南山区深南大道10138号|深圳市南山区桃园路南山区委大楼A座8楼|深圳市福田区红荔西路8007号土地房产交易大厦3楼,（0755）26978448|（0755）26563896|（0755）83785995,T107-0087,3 012.5㎡,45000.0平方米,                                                        	 ≤14.94							,None,None,商业办公,30年,南山区,南山区粤海街道,None,None,华强方特文化科技集团股份有限公司,974000000,2020-02-18 16:29:16,成交价,T107-0087宗地出让结果,2020-02-19,T107-0087,华强方特文化科技集团股份有限公司,,南山区粤海街道,商业办公,3012.5平方米,45000.0平方米,97 400万元,97 400万元,-,21644.44元/平方米,深土交告〔2020〕3号,2020年1月20日起至2020年2月9日止,2020-05-13 17:05:50,https://www.sz68.com/trade/download?module=base&service=BaseDownload&method=downloadFile&lobId=20200120091913758437038825183251,d0fffc5e08967c8fd52e4b1a7ec67525,土地模块|深土交告[2020]3号.docx|须知.doc|竞买申请书.doc|成交确认书.doc|宗地图.pdf|出让合同.docx|监管协议.docx|
2020-02-19 15:00,已成交,T107-0088,南山区粤海街道,1032000000,商业办公,2911.25,挂牌,土地出让,宗地：T107-0088,2020-01-20,已成交,							深圳市分期乐网络科技有限公司		,		1 032 000 000,			206 400 000	,		1 032 000 000,			5 000 000	,,			2020-02-18 16:30:00	,		一人竞买,深圳市土地使用权出让公告,2020年1月20日起至2020年2月9日止,2020年2月10日,2020年2月19日15时,  440305005007GB00179              ,  T107-               0087              ,  南山区粤海街道              ,  商业               用地              ,  A0506数字             动漫设计             制作服务、数字文化技术创新服务              ,  3012.5              ,,,,,  97400              ,  19480              ,,2020年2月18日16时30分,深圳市南山区深南大道10138号|深圳市南山区桃园路南山区委大楼A座8楼|深圳市福田区红荔西路8007号土地房产交易大厦3楼,（0755）26978448|（0755）26563896|（0755）83785995,T107-0088,2 911.25㎡,46700.0平方米,                                                        	 ≤16.04							,None,None,商业办公,30年,南山区,南山区粤海街道,None,None,深圳市分期乐网络科技有限公司,1032000000,2020-02-18 10:34:08,成交价,T107-0088宗地出让结果,2020-02-19,T107-0088,深圳市分期乐网络科技有限公司,,南山区粤海街道,商业办公,2911.25平方米,46700.0平方米,103 200万元,103 200万元,-,22098.5元/平方米,深土交告〔2020〕3号,2020年1月20日起至2020年2月9日止,2020-05-13 17:05:55,https://www.sz68.com/trade/download?module=base&service=BaseDownload&method=downloadFile&lobId=20200120092104484451741342773401,2ece5ec4d5b9dc8199c80bfcf627e5f7,土地模块|深土交告[2020]3号.docx|须知.doc|竞买申请书.doc|成交确认书.doc|宗地图.pdf|出让合同.docx|监管协议.docx|
2020-02-19 15:00,已成交,T107-0088,南山区粤海街道,1032000000,商业办公,2911.25,挂牌,土地出让,宗地：T107-0088,2020-01-20,已成交,							深圳市分期乐网络科技有限公司		,		1 032 000 000,			206 400 000	,		1 032 000 000,			5 000 000	,,			2020-02-18 16:30:00	,		一人竞买,深圳市土地使用权出让公告,2020年1月20日起至2020年2月9日止,2020年2月10日,2020年2月19日15时,  440305005007GB00180              ,  T107-               0088              ,  南山区粤海街道              ,  商业               用地              ,  A0315电子商务交易平台              ,  2911.25              ,,,,,  103200              ,  20640              ,,2020年2月18日16时30分,深圳市南山区深南大道10138号|深圳市南山区桃园路南山区委大楼A座8楼|深圳市福田区红荔西路8007号土地房产交易大厦3楼,（0755）26978448|（0755）26563896|（0755）83785995,T107-0088,2 911.25㎡,46700.0平方米,                                                        	 ≤16.04							,None,None,商业办公,30年,南山区,南山区粤海街道,None,None,深圳市分期乐网络科技有限公司,1032000000,2020-02-18 10:34:08,成交价,T107-0088宗地出让结果,2020-02-19,T107-0088,深圳市分期乐网络科技有限公司,,南山区粤海街道,商业办公,2911.25平方米,46700.0平方米,103 200万元,103 200万元,-,22098.5元/平方米,深土交告〔2020〕3号,2020年1月20日起至2020年2月9日止,2020-05-13 17:05:55,https://www.sz68.com/trade/download?module=base&service=BaseDownload&method=downloadFile&lobId=20200120092104484451741342773401,2ece5ec4d5b9dc8199c80bfcf627e5f7,土地模块|深土交告[2020]3号.docx|须知.doc|竞买申请书.doc|成交确认书.doc|宗地图.pdf|出让合同.docx|监管协议.docx|
2020-03-26 15:00,已成交,T107-0089,南山区粤海街道,717000000,商业,4808.17,挂牌,土地出让,宗地：T107-0089,2020-02-26,已成交,							深圳市建工集团股份有限公司 深圳市宝鹰建设控股集团股份有限公司		,		717 000 000,			143 400 000	,		717 000 000,			5 000 000	,,			2020-03-25 16:30:00	,		一人竞买,深圳市土地使用权出让公告,2020年2月26日起至2020年3月16日止,2020年3月17日,2020年3月26日15时,  44030             5             00             5             00             7             GB00             1             95              ,  T107-               008             9              ,  南山区粤海街道              ,  商业               用地              ,  A0729节能             建筑设计与             A0501城市             与建筑设计、室内设计              ,  4808.17              ,,,,,  71700              ,  14340              ,,2020年3月25日16时30分,深圳市南山区深南大道10138号|深圳市南山区桃园路南山区委大楼A座8楼|深圳市福田区红荔西路8007号土地房产交易大厦3楼,（0755）26978448|（0755）26563774|（0755）83785995,T107-0089,4 808.17㎡,43600.0平方米,                                                        	 ≤9.07							,None,None,商业,30年,南山区,南山区粤海街道,None,None,深圳市建工集团股份有限公司 深圳市宝鹰建设控股集团股份有限公司,717000000,2020-03-24 15:12:48,成交价,T107-0089宗地出让结果,2020-03-26,T107-0089,深圳市建工集团股份有限公司 深圳市宝鹰建设控股集团股份有限公司,,南山区粤海街道,商业,4808.17平方米,43600.0平方米,71 700万元,71 700万元,-,16444.95元/平方米,深土交告〔2020〕4号,2020年2月26日起至2020年3月16日止,2020-05-13 17:06:02,https://www.sz68.com/trade/download?module=base&service=BaseDownload&method=downloadFile&lobId=20200226151826572468547447642053,f7f59ef1e07bdda7c6825a329ba83e40,土地模块|深土交告[2020]4号.docx|须知.doc|竞买申请书.doc|成交确认书.doc|宗地图.pdf|出让合同.docx|监管协议（节能建筑设计行业）.docx|监管协议（城市与建筑设计、室内设计行业）.docx|深圳市土地使用权出让补充公告.doc|
2020-04-08 15:00,已成交,H2019-0017,深汕特别合作区鲘门高铁片区毕昇路东侧,196000000,居住用地,38533,挂牌,土地出让,宗地：H2019-0017,2020-03-05,已成交,							深圳市深汕特别合作区城市建设投资发展有限公司		,		196 000 000,			98 000 000	,		196 000 000,			2 000 000	,		,			2020-04-07 16:30:00	,		一人竞买,深圳市土地使用权出让公告,2020年3月5日起至2020年3月29日止,2020年3月30日,2020年4月8日15时,  H2019-0017              ,,  深汕特别合作区             鲘门             高铁             片区             毕昇路东侧              ,  二类居住用地              ,,  38533              ,,  70              ,,,  19600              ,  9800              ,  70              ,2020年4月7日16时30分,深圳市深汕特别合作区管委会文贞楼1栋2楼|深圳市深汕特别合作区管委会仁和楼2栋3楼|深圳市福田区市民中心C区|深圳市福田区红荔西路8007号土地房产交易大厦3楼,0755-22106826|0755-22101189|（0755）88125069|（0755）83785995,H2019-0017,38 533㎡,123305.0平方米,                                                        	 							,None,None,居住用地,70年,深汕特别合作区,深汕特别合作区鲘门高铁片区毕昇路东侧,None,None,深圳市深汕特别合作区城市建设投资发展有限公司,196000000,2020-04-08 10:21:45,成交价,H2019-0017宗地出让结果,2020-04-08,H2019-0017,深圳市深汕特别合作区城市建设投资发展有限公司,,深汕特别合作区鲘门高铁片区毕昇路东侧,居住用地,38533.0平方米,123305.0平方米,19 600万元,19 600万元,-,1589.55元/平方米,深土交告〔2020〕5号,2020年3月5日起至2020年3月29日止,2020-05-13 17:06:10,https://www.sz68.com/trade/download?module=base&service=BaseDownload&method=downloadFile&lobId=20200304174630521218311638561850,35ed868f45fc33c480adf1ad1124ccfc,土地模块|深土交告[2020]5号.docx|宗地图.pdf|规划设计要点.pdf|出让合同  .docx|建设和管理任务书.docx|成交确认书.doc|商品住房用地购置资金来源情况申报表.docx|土地购置资金承诺函.docx|竞买须知.doc|
