标题,来源,时间,挂牌时间,土地编号,土地坐落,使用权面积,竞得人,成交价,爬取地址url,唯一标识,
郑州市国土资源局挂牌出让结果公示〔2017年1月3日至2016年1月18日〕,本站原创,2017-01-21 16:07:36 ,,〔2016〕168号（网）土地,宜居西路北、景西二路西,118926.95平方米,河南骏惠房地产开发有限公司,26317万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1714457.jhtml,29cc0e35da4f1837fb2562e0d70586b5,
郑州市国土资源局挂牌出让结果公示〔2017年1月9日至2016年1月25日〕,本站原创,2017-02-04 16:09:38 ,,〔2016〕190号（网）土地,站马屯路南、紫荆山南路东,52109.26平方米,郑州马寨工业园建设开发有限公司,41487万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1714534.jhtml,3c3d38d73312b8d3a2489993799157e1,
郑州市国土资源局挂牌出让结果公示〔2017年1月18日至2016年2月6日〕,本站原创,2017-02-10 16:12:17 ,,〔2016〕204号（网）土地,高铁南路南、荆胡路西,77621.42平方米,郑州市二七新区建设投资开发有限公司,47146万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1714611.jhtml,564ee202ee224a825f36c76ff4a445b7,
郑州市国土资源局挂牌出让结果公示〔2017年1月20日至2016年2月15日〕,本站原创,2017-02-18 16:15:46 ,,〔2016〕218号（网）土地,新兴路北、东风渠滨河路东,39025.72平方米,郑州市二七新区建设投资开发有限公司,28745万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1711948.jhtml,bdde7d8222f60ee868f25342976c04cc,
郑州市国土资源局挂牌出让结果公示〔2017年3月27日至2017年4月12日〕,本站原创,2017-04-15 16:18:11 ,,〔2017〕1号（网）土地,新兴路南、假日东路西,28916.31平方米,郑州市二七城乡更新建设开发有限公司,21830万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1712014.jhtml,afd8d613db53229db6d98eb924ae6b29,
郑州市国土资源局挂牌出让结果公示〔2017年4月10日至2017年4月26日〕,本站原创,2017-04-29 16:28:52 ,,〔2017〕10号（网）土地,鸿宝南路南、姚店堤西路东,322184.6平方米,郑州高新碧桂园房地产开发有限公司,99076万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1712074.jhtml,35d3a5e505225238e433642c0b4d8bdb,
郑州市国土资源局挂牌出让结果公示〔2017年5月23日至2017年6月6日〕,本站原创,2017-06-10 16:32:02 ,,〔2017〕27号（网）土地,北三环北、长兴路东,48300.53平方米,郑州宜家家居有限公司,38465万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1712116.jhtml,ac182045823b5da5d8f17c91b2d7961e,
郑州市国土资源局挂牌出让结果公示〔2017年6月7日至2017年6月20日〕,本站原创,2017-06-23 16:35:41 ,,〔2017〕29号（网）土地,孟砦环路南、铁西路西,23368.42平方米,郑州保利永和房地产开发有限公司,30311万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1712399.jhtml,2d8b77f8b414526c1e46563e9f7c97a7,
郑州市国土资源局挂牌出让结果公示〔2017年6月21日至2017年7月4日〕,本站原创,2017-07-06 16:37:21 ,,〔2017〕32号（网）土地,国基路南、丰庆北路西,12677.19平方米,河南福汇泽置业有限公司,17021万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1713134.jhtml,bc26600a7740d4f550493f587a49a694,
郑州市国土资源局挂牌出让结果公示〔2017年7月5日至2017年7月18日〕,本站原创,2017-07-25 16:42:05 ,,〔2017〕33号土地,化工路南、碧桃路西,11379.36平方米,河南纵横精工机械科技有限公司,562.1万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1713897.jhtml,548fcc43164461dc397b101078aed86a,
郑州市国土资源局挂牌出让结果公示〔2017年8月11日至2017年8月25日〕,本站,2017-08-28 17:41:17 ,,〔2017〕37号（网）土地,鸿发路南、鸿苑路西,132359.13平方米,河南瀚海布兰登置业有限公司,47270万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1724149.jhtml,6103f0d4952aab50295fa1f650a458ed,
郑州市国土资源局挂牌出让结果公示〔2017年8月16日至2017年8月29日〕,本站,2017-08-31 17:41:59 ,,〔2017〕42号（网）土地,石苏路南、中央东路西,151579.96平方米,郑州荣益华房地产开发有限责任公司,41690万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1724156.jhtml,45b5945cf0bb329acb7d5cc6f95f7717,
郑州市国土资源局挂牌出让结果公示〔2017年8月24日至2017年9月6日〕,本站,2017-09-08 17:43:24 ,,〔2017〕47号（网）土地,科学大道北、石楠路西,21069.55平方米,郑州金航置业有限公司,17427万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1724163.jhtml,5280e43be9728830b8b3a9306aa888d2,
郑州市国土资源局挂牌出让结果公示〔2017年9月12日至2017年9月25日〕,本站,2017-09-28 17:44:16 ,,〔2017〕48号（网）土地,南阳路西、宋寨南街南,8785.05平方米,河南裕华置业有限公司,7421万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1724170.jhtml,dbeb6aa4d134d9580141b365aa2c85fd,
郑州市国土资源局挂牌出让结果公示〔2017年10月9日至2017年10月20日〕,本站,2017-10-23 17:45:18 ,,,,,,,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1724172.jhtml,9b424a5bb84cfb87f1e03ff976c68fc1,
郑州市国土资源局挂牌出让结果公示〔2017年10月9日至2017年10月20日〕,本站,2017-10-24 17:45:54 ,,〔2017〕49号（网）土地,红松路西、枫香街北,129526.75平方米,河南省美景之州地产开发有限公司,78021万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1724177.jhtml,3181f9ea2545c0481046c00641902014,
郑州市国土资源局挂牌出让结果公示〔2017年10月12日至2017年10月26日〕,本站,2017-10-30 17:47:50 ,2017年10月12日至2017年10月26日,〔2017〕61号（网）土地,姚庄南路南、文德路西,46390.59平方米,郑州中鑫云谷手机科技园有限公司,33840万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1724187.jhtml,4b5eca80bf6eb4624c83295d9099cf3e,
郑州市国土资源局挂牌出让结果公示〔2017年11月15日至2017年11月28日〕,本站,2017-11-29 17:48:32 ,2017年11月15日至2017年11月28日,〔2017〕71号（网）土地,电厂西路东、西流湖路南,25804.49平方米,郑州元年房地产开发有限公司,32969万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1724193.jhtml,2c8f4276ee026da8d3748dbcdd3dd7ee,
郑州市国土资源局挂牌出让结果公示〔2017年11月20日至2017年12月4日〕,本站,2017-12-06 17:49:11 ,2017年11月20日至2017年12月4日,〔2017〕73号（网）土地,电厂西路西、西流湖路北,63387.67平方米,河南荣福房地产开发有限公司,55250万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1724198.jhtml,f3bb45e5629f334b81d6c096be90c44c,
郑州市国土资源局挂牌出让结果公示〔2017年11月27日至2017年12月11日〕,本站,2017-12-13 17:49:44 ,2017年11月27日至2017年12月11日,〔2017〕80号（网）土地,南三环路北、岗东路东,27599.26平方米,郑州市金岱鼎城置业有限公司,44025万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1724201.jhtml,6201218f165c415109489535c1a412bf,
郑州市国土资源局挂牌出让结果公示〔2017年12月13日至2017年12月27日〕,本站,2017-12-28 09:19:43 ,,〔2017〕85号（网）土地,飞翔路北、绕城高速辅道东,29220.26平方米,郑州华瑞紫韵置业有限公司,28943万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1727896.jhtml,d6f50192892d6484fd43f58f51b66e46,
郑州市国土资源局挂牌出让结果公示〔2017年12月13日至2017年12月27日〕,本站,2017-12-28 17:50:13 ,2017年12月13日至2017年12月27日,〔2017〕85号（网）土地,飞翔路北、绕城高速辅道东,29220.26平方米,郑州华瑞紫韵置业有限公司,28943万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1724208.jhtml,9762b65212121cee418f0f8011aebe35,
郑州市国土资源局挂牌出让结果公示〔2017年12月6日至2018年1月2日〕,本站,2018-01-03 17:51:16 ,2017年12月6日至2018年1月2日,〔2017〕83号（网）土地,桐柏路东、弯婉小道南,12036.87平方米,河南融创晟元置业有限公司,27059万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1724212.jhtml,ebf6a160b6b40929c6828a6dffb14832,
郑州市国土资源局挂牌出让结果公示〔2018年1月16日至2018年1月26日〕,本站,2018-01-16 09:22:33 ,2018年1月16日至2018年1月26日,〔2017〕93号（网）土地,科学大道北、郁香路西,82432.15平方米,河南晟和祥实业有限公司,74390万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1727897.jhtml,9d55bdf4afeaa3a9dbc5b48da2be3e69,
郑州市国土资源局挂牌出让结果公示〔2018年1月8日至2018年1月19日〕,本站,2018-01-24 09:23:04 ,,〔2017〕94号（网）土地,荷花街东、梅园路南,27699.94平方米,郑州市金水碧海房地产开发有限公司,22529万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1727904.jhtml,1bfdefe97c4b63343fdc076ce2091d68,
郑州市国土资源局挂牌出让结果公示〔2016年6月24日至2016年7月7日〕.,本站原创,2016-07-12 11:39:28 ,,〔2016〕73号（网）土地,翠竹街南、郁香路西,25920.45平方米,河南晟和祥实业有限公司,35021万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1713519.jhtml,5e95d354b4c2725b7ebd081589dae9fb,
郑州市国土资源局挂牌出让结果公示〔2016年3月10日至2016年3月25日〕,本站原创,2016-03-30 10:33:37 ,,〔2016〕35号土地,龙源街北、桂圆南街东,18141.43平方米,河南锦家置业有限公司,17933万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1712672.jhtml,1c92aba116db8bdba4c400fa2808ed18,
郑州市国土资源局挂牌出让结果公示〔2015年12月23日至2016年1月7日〕,本站原创,2016-01-08 10:19:58 ,,〔2015〕112号土地,少林路南、丰庆北路东,29501.43平方米,河南锦家置业有限公司,28334万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1712196.jhtml,abff3a26450638db9c8df9cd835b687a,
郑州市国土资源局挂牌出让结果公示〔2016年1月4日至2016年1月15日〕,本站原创,2016-01-20 10:22:49 ,,〔2015〕116号（网）土地,鼎盛大道南、嵩山南路东,20222.63平方米,郑州广运房地产开发有限公司,25510万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1712203.jhtml,7d1efb537aebb58e91537c6ce41bd4fe,
郑州市国土资源局挂牌出让结果公示〔2016年1月11日至2016年1月27日〕,本站原创,2016-01-28 10:24:14 ,,〔2015〕122号土地,冬青街北、月桂路东,128370.23平方米,郑州美景置业有限责任公司,87960万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1712207.jhtml,35b4fae45d2d3dca973e7460d0b5b6ac,
郑州市国土资源局挂牌出让结果公示〔2016年1月25日至2016年2月5日〕,本站原创,2016-02-06 10:25:26 ,,〔2015〕131号(网)土地,玉兰街南、月桂路西,10360.26平方米,郑州新银科置业有限公司,11180万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1712210.jhtml,1d682ebd59b0b07871c9d5754ab84284,
郑州市国土资源局挂牌出让结果公示〔2016年1月29日至2016年2月18日〕,本站原创,2016-02-19 10:26:48 ,,〔2016〕7号(网)土地,双铺路北、信息学院路西,116496.45平方米,河南大京江房地产发展有限公司,53298万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1712273.jhtml,771ba474d0efd23f876796cea37c62ca,
郑州市国土资源局挂牌出让结果公示〔2016年2月3日至2016年2月19日〕,本站原创,2016-02-20 10:28:22 ,,〔2016〕10号土地,站马屯路北、建兴路东,58673.47平方米,河南永威置业有限公司,34254万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1712336.jhtml,c267ad3adcb94609f003c63b893b0308,
郑州市国土资源局挂牌出让结果公示〔2016年2月14日至2016年2月25日〕,本站原创,2016-02-26 10:29:44 ,,〔2016〕19号网土地,二砂路东、颍河西路南,33811.67平方米,河南国信乐达房地产有限公司,27958万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1712392.jhtml,2e5c693125035977d5fb36375d1c97ef,
郑州市国土资源局挂牌出让结果公示〔2016年2月17日至2016年3月2日〕,本站原创,2016-03-03 10:31:08 ,,〔2016〕23号网土地,金宝路北、马头岗中街西,37352.34平方米,郑州市惠济区迎宾路街道弓庄村村民委员会,116873万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1712462.jhtml,898d8735fc6db4238406fdcbc2a05e1f,
郑州市国土资源局挂牌出让结果公示〔2016年2月3日至2016年3月4日〕,本站原创,2016-03-05 10:42:50 ,,〔2016〕18号土地,枫杨街南、雪松路西,2998.95平方米,河南朗格置业有限公司,1656万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1712525.jhtml,38cd1400b777c113ee997afe559d2c6b,
郑州市国土资源局挂牌出让结果公示〔2016年2月25日至2016年3月9日〕,本站原创,2016-03-11 10:32:21 ,,〔2016〕32号网土地,石化路西、西冷路南,33400.05平方米,河南龙源地产有限公司,23039万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1712595.jhtml,4430bc6b6e8880e153f0b745f77f1718,
郑州市国土资源局挂牌出让结果公示〔2016年3月18日至2016年3月31日〕,本站原创,2016-04-01 10:34:50 ,,〔2016〕40号土地,冬青街北、月桂路西,90539.77平方米,郑州新银科置业有限公司,51180万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1712749.jhtml,224b3a4b9f29cded60154bea53456618,
郑州市国土资源局挂牌出让结果公示〔2016年3月30日至2016年4月13日〕,本站原创,2016-04-14 10:36:04 ,,〔2016〕47号网土地,金枝路北、玉轩路西,69671.97平方米,郑州汇泉置业有限公司,24691万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1712826.jhtml,8e54ba72ecca594f3d9d5359dd7b06f3,
郑州市国土资源局挂牌出让结果公示〔2016年4月11日至2016年4月22日〕,本站原创,2016-05-04 10:38:27 ,,〔2016〕53号网土地,金城大道北、河村中街东,22863.18平方米,河南美商置业有限公司,19635万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1712903.jhtml,af170bb46e80cefb1264eab131c86309,
郑州市国土资源局挂牌出让结果公示〔2016年4月15日至2016年5月3日〕,本站原创,2016-05-06 10:40:42 ,,〔2016〕58号网土地,煤机路北、热电厂路西,25730.58平方米,郑州和润投资有限公司,21869万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1712980.jhtml,9587a3dee38da9dc952f1b73282e0bf9,
郑州市国土资源局挂牌出让结果公示〔2016年4月22日至2016年5月6日〕,本站原创,2016-05-07 10:41:50 ,,〔2016〕60号土地,杨金路南、杨金三街西,17096.56平方米,河南朗驰科技有限公司,10640万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1713057.jhtml,05684b0fcb8530a443553f4770485eac,
2016年1-5月划拨结果,本站原创,2016-05-20 17:16:01 ,,,,,,,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1713211.jhtml,ee7634cb4376146cb00e76fcce2f61e1,
郑州市国土资源局挂牌出让结果公示〔2016年5月24日至2016年6月8日〕,本站原创,2016-06-15 11:34:46 ,,〔2016〕61号（网）土地,新龙路南、芙蓉路西,39802.82平方米,郑州玖智房地产开发有限公司,22957万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1713288.jhtml,ec4e6dd665efd0683f63cd281272d4dc,
郑州市国土资源局挂牌出让结果公示〔2016年5月31日至2016年6月17日〕,本站原创,2016-06-24 11:35:35 ,,〔2016〕62号（网）土地,金城大道南、河村中街西,65233.43平方米,郑州天伦万科房地产开发有限公司,41990万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1713365.jhtml,2b8c76d86a589b8a581a230d59f0c5b3,
郑州市国土资源局挂牌出让结果公示〔2016年6月13日至2016年7月1日〕,本站原创,2016-07-05 11:38:10 ,,〔2016〕67号（网）土地,绿洲路南、天山路东,112248.94平方米,河南惠昌城乡建设发展有限公司,50682万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1713442.jhtml,678641ab80f5d9494e9937c984b631a5,
郑州市国土资源局挂牌出让结果公示〔2016年6月29日至2016年7月13日〕,本站原创,2016-07-18 11:41:41 ,,〔2016〕75号（网）土地,玉轩路东、文博大道北、西四环西,62196.59平方米,郑州万科美景房地产开发有限责任公司,250240万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1713596.jhtml,1672502e635f7f03cd56f1b18ec05398,
郑州市国土资源局挂牌出让结果公示〔2016年6月24日至2016年7月7日〕,本站原创,2016-07-20 11:37:26 ,,〔2016〕72号（网）土地,翠竹街南、垂柳路东,81631.89平方米,,,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1713673.jhtml,9a3ea4a4a3c2e96ef6f4e30fcee537df,
郑州市国土资源局挂牌出让结果公示〔2016年7月28日至2016年8月10日〕,本站原创,2016-08-11 11:42:26 ,,〔2016〕80号土地,绿竹路西、文竹街北、西四环西,34819.58平方米,中钢集团郑州金属制品研究院有限公司,2314万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1713750.jhtml,3546c0cff98e335ef4afbb91e74f0d71,
郑州市国土资源局挂牌出让结果公示〔2016年9月19日至2016年9月30日〕,本站原创,2016-10-01 11:43:06 ,,〔2016〕91号土地,春兰路西、街坊路北,9639.96平方米,郑州华硕精密陶瓷股份有限公司,558万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1713813.jhtml,a6b607a5ba82bc9601d2e2512b411f62,
郑州市国土资源局挂牌出让结果公示〔2016年10月31日至2016年11月11日〕,本站原创,2016-11-15 10:46:16 ,,〔2016〕100号土地,渠南路南、站前大道东,50942.97平方米,郑州市建设投资集团有限公司,11175万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1713890.jhtml,488d797ffd25fa6f531b03fedef46faa,
郑州市国土资源局挂牌出让结果公示〔2016年11月10日至2016年11月25日〕,本站原创,2016-11-29 15:34:52 ,,〔2016〕109号土地,化工路北、凯旋路西,17272.68平方米,河南旭鑫置业有限公司,87332万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1713960.jhtml,8775b7e1f8f15035572bf26e0d260e43,
2016年6月-11月郑州市土地划拨出让结果公示,本站原创,2016-12-02 11:55:13 ,,,,,,,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1714013.jhtml,6711356d9fe925db8edac1525106e7bf,
郑州市国土资源局挂牌出让结果公示〔2016年11月22日至2016年12月7日〕,本站原创,2016-12-12 15:32:03 ,,〔2016〕102号（网）土地,月湖南路南、假日西路东,13046.23平方米,河南碧源滨湖置业有限公司,1180万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1714079.jhtml,1c8dff27631adb8d0fac28d6fc9823d2,
郑州市国土资源局挂牌出让结果公示〔2016年11月25日至2016年12月9日〕,本站原创,2016-12-14 15:37:04 ,,〔2016〕112号（网）土地,月湖北路南、假日西路西,34122.16平方米,郑州天伦万科房地产开发有限公司,17748万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1714149.jhtml,d9ee77116861877e191a5001afe98424,
郑州市国土资源局挂牌出让结果公示〔2015年11月20日至2015年12月3日〕,本站原创,2015-12-17 14:33:17 ,,〔2015〕86号土地,太康西路北、彭公祠街东,39768.44平方米,河南新田叁陆零置业有限公司,34922万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1712133.jhtml,ddadbea6b97eb3d4cf3788b221a1fdec,
郑州市国土资源局挂牌出让结果公示〔2015年9月23日至2015年10月12日〕,本站原创,2015-10-13 09:14:24 ,,〔2015〕55号土地,西站路北、电厂西路东,150471.57平方米,郑州元年房地产开发有限公司,25701万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1712084.jhtml,95335d53d4819ff21c33ccc7b991cd07,
郑州市国土资源局挂牌出让结果公示[2015年5月20日至2015年6月3日],本站原创,2015-06-04 16:15:25 ,,〔2015〕34号土地,天河路东、新苑路北,42313.63平方米,河南锦轩置业有限公司,21725万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1712028.jhtml,bf1ae58b455f23820e7f9df00d839422,
郑州市国土资源局挂牌出让结果公示[2015年6月1日至2015年6月12日],本站原创,2015-06-12 18:23:05 ,,〔2015〕36号（网）土地,药厂街北、西四环东,10476.16平方米,郑州中盟文化生态旅游开发有限公司,6432万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1712035.jhtml,244f6360fda245b0d8084785d999031e,
国有建设用地出让、划拨一览表（2015年1月-2015年5月）,本站原创,2015-06-16 18:09:43 ,,,,,,,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1712042.jhtml,e53690e2c3d37ea4dd6ea474ee35a367,
2015年1-6月市本级划拨结果,本站原创,2015-06-16 18:28:01 ,,,,,,,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1712046.jhtml,96f1a642cbdb26eb097677cc66833677,
国有建设用地使用权协议出让公示（河南能源化工集团龙城建设投资有限公司、中国石油天然气股份有限公司河南销售分公司）,本站原创,2015-06-18 09:13:28 ,,,,,,,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1712056.jhtml,d3da82dccc3b23155b3cda7dc022f71d,
郑州市国土资源局挂牌出让结果公示[2015年7月6日至2015年7月17日],本站原创,2015-07-21 10:05:29 ,,〔2015〕37号土地,少林路南、消防路西,21406.33平方米,郑州大有永固置业有限公司,10490万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1712063.jhtml,7f101e70a0bc412afcf80535fa1aca5b,
郑州市国土资源局挂牌出让结果公示[2015年7月17日至2015年7月31日],本站原创,2015-08-10 16:37:54 ,,〔2015〕38号土地,未来路东、德风街东,16160.99平方米,河南瑞鼎置业有限公司,11600万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1712067.jhtml,99cf9105a7b3a872c5757de2d0b6a175,
郑州市国土资源局挂牌出让结果公示[2015年8月11日至2015年8月26日],本站原创,2015-08-27 11:31:57 ,,〔2015〕43号土地,枫杨街南、春藤路西,56822.43平方米,河南朗格置业有限公司,23777万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1712070.jhtml,1b82b6f5b1b5d25e3d0a9db84fb7b866,
郑州市国土资源局挂牌出让结果公示[2015年9月6日至2015年9月17日],本站原创,2015-09-18 18:29:58 ,,〔2015〕44号土地,站前大道东、郑上南辅道南,37756.24平方米,郑州华瑞紫韵置业有限公司,17081万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1712077.jhtml,5acf3ef2b55a5ff910017e035958fff4,
郑州市国土资源局国有土地使用权协议出让公示（豫郑利用意告字2015028号）,本站原创,2015-09-25 18:14:39 ,,,,,,,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1712081.jhtml,9a517a7bd291f7be7e226be3a9607f9c,
郑州市国土资源局挂牌出让结果公示〔2015年9月21日至2015年10月10日〕,本站原创,2015-10-14 09:17:33 ,,〔2015〕52号（网）土地,童心路南、文治路东,9037.54平方米,河南润盈置业有限公司,5076万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1712088.jhtml,14908ec1c128d5dbe859aa5fb638124f,
郑州市国土资源局挂牌出让结果公示〔2015年9月23日至2015年 10月12日〕,本站原创,2015-10-15 11:13:21 ,,〔2015〕53号（网）土地,北四环路南、园北路西,50505.53平方米,郑州天伦万科房地产开发有限公司,51208万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1712091.jhtml,8f928eeb63922ec2a77f58d28532b215,
郑州市国土资源局挂牌出让结果公示〔2015年10月8日至2015年10月21日〕,本站原创,2015-12-17 09:53:07 ,,〔2015〕60号（网）土地,中州大道东、石化路南,10047.35平方米,河南爱丁堡置业有限公司,5439万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1712095.jhtml,8edd6d4e7cfba0d9adf0dac724dc73d9,
郑州市国土资源局挂牌出让结果公示〔2015年10月14日至2015年11月6日〕,本站原创,2015-12-17 09:54:23 ,,〔2015〕63号土地,创新大道东、杜兰街北,100728.35平方米,河南省美景之州地产开发有限公司,32637万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1712098.jhtml,a37650947f2f021e991b17ae4b8124e1,
郑州市国土资源局挂牌出让结果公示〔2015年10月14日至2015年10月28日〕,本站原创,2015-12-17 14:22:40 ,,〔2015〕65号土地,航海路南、伏牛路西,36666.36平方米,河南民祥置业有限公司,26536万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1712102.jhtml,df3c2a563abe500a1d36a701b2f92c61,
郑州市国土资源局挂牌出让结果公示〔2015年10月14日 至2015年10月28日〕,本站原创,2015-12-17 14:23:49 ,,〔2015〕68号（网）土地,文清南路南、河村东街东,83927.97平方米,河南鸿宝置地有限公司,47818万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1712105.jhtml,89f6022ada3f12650cce3625ed915b04,
郑州市国土资源局挂牌出让结果公示〔2015年11月2日至2015年11月13日〕,本站原创,2015-12-17 14:25:43 ,,〔2015〕70号土地,农场东路东、鸿发路北,74523.35平方米,河南榕基信息技术有限公司,17417万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1712112.jhtml,f8bd16286d795af9957f33a6b3820788,
郑州市国土资源局挂牌出让结果公示〔2015年10月29日至2015年11月12日〕,本站原创,2015-12-17 14:28:53 ,,〔2015〕71号土地,鼎盛大道北、荆胡路西,64702.2平方米,郑州康桥房地产开发有限责任公司,27065万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1712119.jhtml,24012a617fad55a4852df90281182ca9,
郑州市国土资源局挂牌出让结果公示〔2015年10月30日至2015年11月13日〕,本站原创,2015-12-17 14:31:02 ,,〔2015〕72号（网）土地,南环路北、郑密路辅道西,307416.45平方米,中国电信集团公司河南省郑州市电信分公司,11009.04万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1712126.jhtml,4f72f5a98102de99f02836c462e15b06,
郑州市国土资源局挂牌出让结果公示〔2015年11月20日至 2015年12月3日〕,本站原创,2015-12-17 15:01:04 ,,〔2015〕90号土地,科学大道北、春藤路东,18088.26平方米,郑州市轨道交通置业有限公司,16300万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1712140.jhtml,381b5052cdbbd73c4654558283d7eb88,
郑州市国土资源局挂牌出让结果公示〔2015年11月30日至2015年12月11日〕,本站原创,2015-12-17 15:03:43 ,,〔2015〕103号土地,中原西路北、图强路西,53997.99平方米,郑州发展投资集团有限公司,28380万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1712144.jhtml,59fa2146a2ecb8a6eaa9b489899fab4a,
郑州市国土资源局挂牌出让结果公示〔2015年12月2日至2015年12月16日〕,本站原创,2015-12-17 15:04:53 ,,〔2015〕100号土地,棉纺西路南、协和路西,37452.33平方米,河南五建置业有限公司,35353万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1712147.jhtml,220855edcdc982bf4601b9a4ec478afc,
郑州市国土资源局挂牌出让结果公示〔2015 年10月8日至2015年10月21日〕,本站原创,2015-12-17 15:06:14 ,,〔2015〕57号土地,红松路西、化工路辅道北,28268.93平方米,郑州市长城房屋开发集团有限公司,18912万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1712154.jhtml,ddaf1ac00de68e6cbac5e0a852b96226,
