标题,来源,时间,挂牌时间,土地编号,土地坐落,使用权面积,竞得人,成交价,爬取地址url,唯一标识,
郑州市国土资源局挂牌出让结果公示〔2018年10月30日至2018年11月23日〕,本站,2018-11-29 09:28:38 ,2018年10月30日至2018年11月23日,〔2018〕137号（网）土地,大学南路东、张魏寨路南,49045.59平方米,郑州华侨城都市置业有限公司,44572万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1745880.jhtml,2290fe11a41ad5e61b021b0c2c14c7dc,
郑州市国土资源局挂牌出让结果公示〔2018年11月30日至2018年12月14日〕,本站,2018-12-20 09:29:58 ,2018年11月30日至2018年12月14日,〔2018〕146号（网）土地,书院街南、紫荆山路西,43968.03平方米,郑州商都商业发展有限公司,43695万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1745887.jhtml,36122e5f218a926fdf0b891c210fa141,
郑州市国土资源局挂牌出让结果公示〔2018年12月10日至2018年12月21日〕,本站,2018-12-25 09:30:46 ,2018年12月10日至2018年12月21日,〔2018〕147号土地,经南八路以北、经开第二十二大街以西,131806.17平方米,郑州市鸿盛钢友冶金材料有限公司,2080万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1745900.jhtml,db508f1a374c72a1a0e9d953522720fb,
郑州市国土资源局挂牌出让结果公示〔2018年12月12日至2018年12月27日〕,本站,2019-01-03 09:31:43 ,2018年12月12日至2018年12月27日,〔2018〕150号（网）土地,杓袁中二街西、杓袁北路南,12109.45平方米,郑州保利亨业房地产开发有限公司,72072万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1745901.jhtml,8bad804464529cc6ef01dc2c19147801,
郑州市国土资源局挂牌出让结果公示〔2018年12月17日至2018年12月29日〕,本站,2019-01-08 09:32:49 ,2018年12月17日至2018年12月29日,〔2018〕161号（网）土地,中原西路北辅道北、杭州路西,36894.48平方米,郑州华侨城文化旅游开发有限公司,37811万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1745907.jhtml,189f13148399d15b53b7667975b98e71,
郑州市自然资源和规划局挂牌出让结果公示〔2019年6月17日至2019年7月4日〕,本站,2019-07-10 17:40:04 ,2019年6月17日至2019年7月4日,〔2019〕48号（网）土地,泉州路西、文博大道北,55786.23平方米,河南省尚建置业有限公司,63661万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1798932.jhtml,cf0094faaa41704857f9c817a5240bce,
郑州市自然资源和规划局挂牌出让结果公示〔2019年6月26日至2019年7月10日〕,本站,2019-07-17 17:40:46 ,2019年6月26日至2019年7月10日,〔2019〕51号（网）土地,鸿宝南路北、鸿中路东,12431.35平方米,河南金汇建设投资股份有限公司,14178万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1798933.jhtml,efc6e6b24a41fb4e4b8d82946602a149,
郑州市自然资源和规划局挂牌出让结果公示（2019年8月12日至2019年8月29日）,本站,2019-09-05 10:30:03 ,2019年8月12日至2019年8月29日,〔2019〕60号（网）土地,冉屯北路南、嵩山北路西,30597.13平方米,郑州融亮春房地产开发有限公司,68073万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1844685.jhtml,0209f69bec66cf07f17516f4bdb329c0,
郑州市自然资源和规划局挂牌出让结果公示（2019年8月26日至2019年9月9日）,本站,2019-09-18 10:31:40 ,2019年8月26日至2019年9月9日,〔2019〕67号（网）土地,站马屯路南、郑新大道西,44111.96平方米,郑州益通汇泓房地产有限公司,46163万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1844689.jhtml,130dc88d0fcd7553518cf16d13b14495,
郑州市自然资源和规划局挂牌出让结果公示（2019年9月19日至2019年10月10日）,本站,2019-10-14 14:57:43 ,2019年9月19日至2019年10月10日,〔2019〕71号（网）土地,经南八北二路以南、经开第十六大街以东,59888.35平方米,郑州保利亨业房地产开发有限公司,77053万元,2020-05-11,http://zzland.zhengzhou.gov.cn/tdcr/1890644.jhtml,970e4bb8937e693906057906b34b7ceb,
