文件标题,发布时间,地块编号,具体位置,出让面积,容积率,用途,供地方式,使用年限,竞得(人),成交价格,成交日期,爬取地址url,唯一标识,
津北辰辰（挂）2019-130号,2019-10-23,津北辰辰（挂）2019-130号,辰柳路与新雅道交口东北侧,45143.6方米,≤2.5,经营性用地,挂牌,城镇住宅70年，商服40年、科教50年,大华（天津）发展有限公司,70000万元,2019-10-23,2020-05-08 14:37:36,http://218.69.100.10/news.aspx?id=1017476,e59647c8c626b7c3c3adc4e6a4e4725f,
津北辰辰（挂）2019-129号,2019-10-23,津北辰辰（挂）2019-129号,辰柳路与新雅道交口西北侧,31249.9方米,≤2.5,经营性用地,挂牌,城镇住宅70年、商服40年、公园与绿地50年,通辽希望（集团）房地产开发有限公司,33000万元,2019-10-23,2020-05-08 14:37:39,http://218.69.100.10/news.aspx?id=1017477,5b2720b2a3f7fb5f873fca03d1eb793c,
津北金（挂）2019-133号,2019-10-23,津北金（挂）2019-133号,河北区金钟河大街与万柳村大街交口东北侧,26998.4方米,,经营性用地,挂牌,城镇住宅70年、商服40年、公园与绿地50年,天津弘创置业有限公司,72500万元,2019-10-23,2020-05-08 14:37:42,http://218.69.100.10/news.aspx?id=1017478,826109b7e2440f415039683ed56bd3a9,
津宁（挂）G2019-10号,2019-10-24,津宁（挂）G2019-10号,天津市宁河区现代产业区,7237.1方米,≥1.0,工业用地,挂牌,50年,天津腾悦模具有限公司,310万元,2019-10-24,2020-05-08 14:37:44,http://218.69.100.10/news.aspx?id=1017545,c33fad4c775943dfc4274cd1cff198ae,
津南（挂）2019-17号,2019-10-24,津南（挂）2019-17号,津南区辛庄镇,38321.3方米,大于1.0且不大于2.0,经营性用地,挂牌,城镇住宅70年、教育50年,石家庄市美的房地产开发有限公司,65500万元,2019-10-24,2020-05-08 14:37:46,http://218.69.100.10/news.aspx?id=1017546,86e9dfb4ca0df78a463987502dab072f,
津宝（挂）2019-027号,2019-10-25,津宝（挂）2019-027号,宝坻区支路一与支路四交口,64614.9方米,大于1.0且不大于1.2,经营性用地,挂牌,城镇住宅70年、商服40年,天津城投置地投资发展有限公司,27740万元,2019-10-25,2020-05-08 14:37:49,http://218.69.100.10/news.aspx?id=1017635,0097531a82903828c5fb0f226ea8d7f2,
津宝（挂）2019-028号,2019-10-25,津宝（挂）2019-028号,宝坻区次干路一与钰华街交口,62309.4方米,大于1.0且不大于1.6,经营性用地,挂牌,城镇住宅70年、商服40年,天津城投置地投资发展有限公司,31310万元,2019-10-25,2020-05-08 14:37:52,http://218.69.100.10/news.aspx?id=1017636,2d3df97b40574e912676e4f156a5b9fc,
津南（挂）2019-15号,2019-10-25,津南（挂）2019-15号,津南区小站镇,28919.4方米,大于1.0且不大于1.5,经营性用地,挂牌,70年,中铁建设集团房地产有限公司,9200万元,2019-10-25,2020-05-08 14:37:54,http://218.69.100.10/news.aspx?id=1017637,3695852ec142406ad6e0807bf1ea938e,
津南（挂）2019-16号,2019-10-25,津南（挂）2019-16号,津南区小站镇,11058.3方米,大于1.0且不大于1.4,经营性用地,挂牌,70年,中铁建设集团房地产有限公司,3330万元,2019-10-25,2020-05-08 14:37:56,http://218.69.100.10/news.aspx?id=1017638,a957693d0528362b75108d1c9812e9c9,
津西青（挂）G2019-04号,2019-10-28,津西青（挂）G2019-04号,天津市西青区张家窝镇天华路以东,46799.3方米,1.0-1.5,工业用地,挂牌,50年,天津市中升挑战生物科技有限公司,4180万元,2019-10-28,2020-05-08 14:37:58,http://218.69.100.10/news.aspx?id=1017639,a0ba8e3ab7fd023fe90cd3b1772206b6,
