标题,来源,时间,行政区,电子监管号,项目名称,项目位置,面积,土地来源,土地用途,供地方式,土地使用年限,行业分类,土地级别,成交价格,分期支付约定—支付期号,分期支付约定—约定支付日期,分期支付约定—约定支付金额,分期支付约定—备注,土地使用权人,约定容积率——下限,约定容积率——上限,约定交地时间,约定开工时间,约定竣工时间,实际开工时间,实际竣工时间,批准单位,合同签订日期,爬取地址url,唯一标识,
2015年1-6月市本级协议出让结果,本站原创,2015-06-16 18:29:34 ,,,,				二七区康复中街18号/号楼南单元,				0.004039,,				其他普通商品住房用地 ,				协议出让,,,				三级,				24.08,,,,,				郑州银行股份有限公司,,,,,,,,,				2015-04-16,2020-05-12,http://zzland.zhengzhou.gov.cn/xycrjg/1712049.jhtml,6637d9ed068f4fe8446f4cc4df67b68f,
2015年1-6月市本级协议出让结果,本站原创,2015-06-16 18:29:34 ,,,,				东风路北、南阳路东,				0.003697,,				其他普通商品住房用地 ,				协议出让,,,				四级,				19.49,,,,,				郑州银行股份有限公司,,,,,,,,,				2015-04-27,2020-05-12,http://zzland.zhengzhou.gov.cn/xycrjg/1712049.jhtml,6637d9ed068f4fe8446f4cc4df67b68f,
2015年1-6月市本级协议出让结果,本站原创,2015-06-16 18:29:34 ,,,,				金水路南,				0.018272,,				商务金融用地 ,				协议出让,,,				二级,				77.9,,,,,				郑州银行股份有限公司,,,,,,,,,				2015-04-17,2020-05-12,http://zzland.zhengzhou.gov.cn/xycrjg/1712049.jhtml,6637d9ed068f4fe8446f4cc4df67b68f,
2015年1-6月市本级协议出让结果,本站原创,2015-06-16 18:29:34 ,,,,				郑密公路南、规划路西,				5.014681,,				工业用地 ,				协议出让,,,				未评估地区,				742.1,,,,,				河南正大制管有限公司,,,,,,,,,				2015-05-05,2020-05-12,http://zzland.zhengzhou.gov.cn/xycrjg/1712049.jhtml,6637d9ed068f4fe8446f4cc4df67b68f,
2015年1-6月市本级协议出让结果,本站原创,2015-06-16 18:29:34 ,,,,				友爱路南、嵩山南路西,				0.00282,,				其他普通商品住房用地 ,				协议出让,,,				三级,				22.3344,,,,,				郑州银行股份有限公司,,,,,,,,,				2015-04-28,2020-05-12,http://zzland.zhengzhou.gov.cn/xycrjg/1712049.jhtml,6637d9ed068f4fe8446f4cc4df67b68f,
2015年1-6月市本级协议出让结果,本站原创,2015-06-16 18:29:34 ,,,,				二七区民主路2号主楼1层,				0.005104,,				商务金融用地 ,				协议出让,,,				二级,				63.39,,,,,				郑州银行股份有限公司,,,,,,,,,				2015-06-10,2020-05-12,http://zzland.zhengzhou.gov.cn/xycrjg/1712049.jhtml,6637d9ed068f4fe8446f4cc4df67b68f,
2014年11月-2015协议出让结果,本站原创,2015-12-19 15:46:15 ,,,,				城北路南、司庄路东,				0.229588,,				工业用地,				协议出让,,,,				97.5749,,,,,				闫云霞,,,,,,,,,				2014-11-18,2020-05-12,http://zzland.zhengzhou.gov.cn/xycrjg/1712182.jhtml,652a9129e8edf8db2ceb745a8656786e,
2014年11月-2015协议出让结果,本站原创,2015-12-19 15:46:15 ,,,,				丰乐路东、拖厂路北,				1.766175,,				其他普通商品住房用地,				协议出让,,,,				4887.006,,,,,				郑州嘉润置业有限公司,,,,,,,,,				2014-11-19,2020-05-12,http://zzland.zhengzhou.gov.cn/xycrjg/1712182.jhtml,652a9129e8edf8db2ceb745a8656786e,
2014年11月-2015协议出让结果,本站原创,2015-12-19 15:46:15 ,,,,				水磨村南侧,				0.01,,				管道运输用地,				协议出让,,,,				5.43,,,,,				河南蓝天燃气股份有限公司,,,,,,,,,				2014-11-24,2020-05-12,http://zzland.zhengzhou.gov.cn/xycrjg/1712182.jhtml,652a9129e8edf8db2ceb745a8656786e,
2014年11月-2015协议出让结果,本站原创,2015-12-19 15:46:15 ,,,,				水磨村南侧,				0.04,,				管道运输用地,				协议出让,,,,				21.92,,,,,				河南蓝天燃气股份有限公司,,,,,,,,,				2014-11-24,2020-05-12,http://zzland.zhengzhou.gov.cn/xycrjg/1712182.jhtml,652a9129e8edf8db2ceb745a8656786e,
