城市,行政区,供应公告标题,公告编号,公告类型,发布时间,网上创建时间,宗地编号：,宗地面积：,宗地坐落：,出让年限：,容积率：,建筑密度(%)：,绿化率(%)：,建筑限高(米)：,土地用途：,投资强度：,保证金：,起始价：,加价幅度：,挂牌开始时间：,挂牌截止时间：,提交书面申请地,缴纳竞买保证金截止时间,确认竞买资格时间,拍卖开始时间,拍卖挂牌进行地点,联系地址,联系人,联系电话,开户单位,开户银行,银行账号,内容链接,主键MD5,爬取时间
北京市,北京市本级,北京市国土资源局国有土地使用权招标出让公告(京土整储招（石）告字[2010]171号),(京土整储招（石）告字[2010]171号),招标,2010/12/10,2010/12/10,京土整储招（房）[2010]172号,269914平方米,房山区窦店镇（沁园春景二期）（配建回迁安置房）居住项目,70年,等于1.5,,,,其他普通商品住房用地,,13000万元,,备注：,,,北京市土地交易市场,,,,北京市土地交易市场,,,,,,,https://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=f11f72ad-7d51-4c51-870f-d6c147116184&recorderguid=e42cd230-92b5-46a1-9114-1ed9af5961c9&sitePath=,0ef4a18eb3c7a4b8dd8233ba5cf0254f,2020-04-22 16:49:51
北京市,北京市本级,北京市国土资源局国有土地使用权招标出让公告(京土整储招（石）告字[2010]171号),(京土整储招（石）告字[2010]171号),招标,2010/12/10,2010/12/10,京土整储招（石）[2010]171号,7692平方米,北京市石景山区苹果园交通枢纽商务区G地块商业金融项目,40年,等于3.72,,,,商务金融用地,,2300万元,,备注：,,,北京市土地交易市场,,,,北京市土地交易市场,,,,,,,https://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=f11f72ad-7d51-4c51-870f-d6c147116184&recorderguid=e42cd230-92b5-46a1-9114-1ed9af5961c9&sitePath=,0ef4a18eb3c7a4b8dd8233ba5cf0254f,2020-04-22 16:49:51
北京市,北京市本级,北京市国土资源局国有土地使用权招标出让公告(京土整储招（通）告字[2010]166号),(京土整储招（通）告字[2010]166号),招标,2010/12/1,2010/12/1,京土整储招（昌）[2010]167号,156531平方米,昌平区沙河镇南一村居住项目用地,70年,等于2,,,,其他普通商品住房用地,,15000万元,,备注：,,,北京市土地交易市场,,,,北京市土地交易市场,,,,,,,https://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=f11f72ad-7d51-4c51-870f-d6c147116184&recorderguid=a1a71342-3f18-4931-bbf2-3a2b06083bc6&sitePath=,bd2ab64de5ccc0f9f4183ad7a56f4fc0,2020-04-22 16:50:34
北京市,北京市本级,北京市国土资源局国有土地使用权招标出让公告(京土整储招（通）告字[2010]166号),(京土整储招（通）告字[2010]166号),招标,2010/12/1,2010/12/1,京土整储招（通）[2010]166号,107835平方米,北京市通州区宋庄镇二类居住及商业金融用地,70年,1.5-1.6,,,,百低价位、百小套型普通商品住房用地,,13000万元,,备注：,,,北京市土地交易市场,,,,北京市土地交易市场,,,,,,,https://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=f11f72ad-7d51-4c51-870f-d6c147116184&recorderguid=a1a71342-3f18-4931-bbf2-3a2b06083bc6&sitePath=,bd2ab64de5ccc0f9f4183ad7a56f4fc0,2020-04-22 16:50:34
北京市,北京市本级,北京市国土资源局国有土地使用权招标出让公告(京土整储招（通）告字[2010]166号),(京土整储招（通）告字[2010]166号),招标,2010/12/1,2010/12/1,京土整储招（兴）[2010]168号,220816平方米,北京市大兴区亦庄新城X1-3地块居住及配套用地项目,70年,等于1.003,,,,其他普通商品住房用地,,35500万元,,,,,北京市土地交易市场,,,,北京市土地交易市场,,,,,,,https://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=f11f72ad-7d51-4c51-870f-d6c147116184&recorderguid=a1a71342-3f18-4931-bbf2-3a2b06083bc6&sitePath=,bd2ab64de5ccc0f9f4183ad7a56f4fc0,2020-04-22 16:50:34
北京市,北京市本级,北京市国土资源局国有土地使用权挂牌出让公告(京土整储挂（平）告字[2010]164号),(京土整储挂（平）告字[2010]164号),挂牌,2010/11/26,2010/11/26,京土整储挂（平）[2010]164号,16574平方米,平谷区王辛庄镇居住项目用地,70年,等于2.9,,,,其他普通商品住房用地,,2100万元,7000万元,40万元,2010年12月16土09时00分,2010年12月30土15时00分,北京市土地交易市场,2010年12月29土15时00分,2010年12月29土15时00分,,北京市土地交易市场,,,,,,,https://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=f11f72ad-7d51-4c51-870f-d6c147116184&recorderguid=a25cf1c8-b76a-4872-adb3-c92dd8fe96e5&sitePath=,87e7a0f24736109c6edfebf49cc42070,2020-04-22 16:50:48
北京市,北京市本级,北京市国土资源局国有土地使用权挂牌出让公告(京土整储挂（平）告字[2010]164号),(京土整储挂（平）告字[2010]164号),挂牌,2010/11/26,2010/11/26,京土整储挂（平）[2010]165号,82295平方米,北京市平谷区王辛庄镇贾各庄村东侧居住项目,70年,等于1.6,,,,其他普通商品住房用地,,4000万元,13311万元,70万元,2010年12月16土09时00分,2010年12月30土15时00分,北京市土地交易市场,2010年12月29土15时00分,2010年12月29土15时00分,,北京市土地交易市场,,,,,,,https://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=f11f72ad-7d51-4c51-870f-d6c147116184&recorderguid=a25cf1c8-b76a-4872-adb3-c92dd8fe96e5&sitePath=,87e7a0f24736109c6edfebf49cc42070,2020-04-22 16:50:48
北京市,北京市本级,北京市国土资源局国有土地使用权招标出让公告(京土整储招（兴）告字[2010]159号),(京土整储招（兴）告字[2010]159号),招标,2010/11/26,2010/11/26,京土整储招（兴）[2010]159号,208267平方米,北京市大兴区生物医药基地东配套4、5号地居住、其它类多功能用地项目（配建公共租赁房）,70年,0.2-2.8,,,,其他普通商品住房用地,,26000万元,,备注：,,,北京市土地交易市场,,,,北京市土地交易市场,,,,,,,https://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=f11f72ad-7d51-4c51-870f-d6c147116184&recorderguid=5c9f2588-659e-40f6-8184-6354c300100f&sitePath=,8cd12d4328dacee108eab02c3e8577ce,2020-04-22 16:50:53
北京市,北京市本级,北京市国土资源局国有土地使用权招标出让公告(京土整储招（兴）告字[2010]159号),(京土整储招（兴）告字[2010]159号),招标,2010/11/26,2010/11/26,京土整储招（兴）[2010]160号,250425平方米,北京市大兴区生物医药基地东配套6号及7号0505-053、0505-062地块住宅混合公建用地项目,70年,等于2.8,,,,其他普通商品住房用地,,41500万元,,备注：,,,北京市土地交易市场,,,,北京市土地交易市场,,,,,,,https://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=f11f72ad-7d51-4c51-870f-d6c147116184&recorderguid=5c9f2588-659e-40f6-8184-6354c300100f&sitePath=,8cd12d4328dacee108eab02c3e8577ce,2020-04-22 16:50:53
北京市,北京市本级,北京市国土资源局国有土地使用权招标出让公告(京土整储招（兴）告字[2010]159号),(京土整储招（兴）告字[2010]159号),招标,2010/11/26,2010/11/26,京土整储招（兴）[2010]161号,77458平方米,北京市大兴区生物医药基地东配套7号地0505-052、0505-055地块住宅混合公建、托幼用地项目,70年,0.8-2.8,,,,其他普通商品住房用地,,11300万元,,备注：,,,北京市土地交易市场,,,,北京市土地交易市场,,,,,,,https://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=f11f72ad-7d51-4c51-870f-d6c147116184&recorderguid=5c9f2588-659e-40f6-8184-6354c300100f&sitePath=,8cd12d4328dacee108eab02c3e8577ce,2020-04-22 16:50:53
北京市,北京市本级,北京市国土资源局国有土地使用权招标出让公告(京土整储招（兴）告字[2010]159号),(京土整储招（兴）告字[2010]159号),招标,2010/11/26,2010/11/26,京土整储招（兴）[2010]162号,188424平方米,北京市大兴区生物医药基地东配套11号地居住用地项目（配建公共租赁房）,70年,0.8-2.5,,,,其他普通商品住房用地,,20500万元,,备注：,,,北京市土地交易市场,,,,北京市土地交易市场,,,,,,,https://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=f11f72ad-7d51-4c51-870f-d6c147116184&recorderguid=5c9f2588-659e-40f6-8184-6354c300100f&sitePath=,8cd12d4328dacee108eab02c3e8577ce,2020-04-22 16:50:53
北京市,北京市本级,北京市国土资源局国有土地使用权招标出让公告(京土整储招（兴）告字[2010]159号),(京土整储招（兴）告字[2010]159号),招标,2010/11/26,2010/11/26,京土整储招（兴）[2010]163号,310117平方米,北京市大兴区生物医药基地东配套12、13、14号地居住、商业金融用地项目,70年,0.8-2.8,,,,其他普通商品住房用地,,35500万元,,备注：,,,北京市土地交易市场,,,,北京市土地交易市场,,,,,,,https://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=f11f72ad-7d51-4c51-870f-d6c147116184&recorderguid=5c9f2588-659e-40f6-8184-6354c300100f&sitePath=,8cd12d4328dacee108eab02c3e8577ce,2020-04-22 16:50:53
北京市,北京市本级,北京市国土资源局国有土地使用权招标出让公告(京土整储招（顺)告字[2010]157号),(京土整储招（顺)告字[2010]157号),招标,2010/11/26,2010/11/26,京土整储招（顺）[2010]157号,141077平方米,北京市顺义区新城22街区22-02-007-1、22-02-007-3地块公建混合住宅用地,70年,等于2,,,,其他普通商品住房用地,,20000万元,,,,,北京市土地交易市场,,,,北京市土地交易市场,,,,,,,https://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=f11f72ad-7d51-4c51-870f-d6c147116184&recorderguid=13bf8b4a-3267-4499-ab3e-81ede731995e&sitePath=,1b56cb53fd0f4d159e5e93627022f99a,2020-04-22 16:51:00
北京市,北京市本级,北京市国土资源局国有土地使用权招标出让公告(京土整储招（顺)告字[2010]157号),(京土整储招（顺)告字[2010]157号),招标,2010/11/26,2010/11/26,京土整储招（顺）[2010]158号,189429平方米,北京市顺义区新城22街区22-02-007-2、22-02-007-4地块公建混合住宅用地,70年,0.8-2.6,,,,其他普通商品住房用地,,27500万元,,,,,北京市土地交易市场,,,,北京市土地交易市场,,,,,,,https://www.landchina.com/DesktopModule/BizframeExtendMdl/workList/bulWorkView.aspx?wmguid=f11f72ad-7d51-4c51-870f-d6c147116184&recorderguid=13bf8b4a-3267-4499-ab3e-81ede731995e&sitePath=,1b56cb53fd0f4d159e5e93627022f99a,2020-04-22 16:51:00
