文件标题,文章来源,更新时间,宗地编号,宗地坐落,面积,土地用途,出让年限,容积率,绿地率,建筑密度,建筑限高,竞买保证金,起始价,增价幅度,其他说明,爬取地址url,唯一标识,
拉公共国土挂〔2015〕5号拉萨市国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2015/7/23 0:00,|2015-9,|柳梧新区金山南路以东，银山南路以西，民安街以北,|16326.5(合：24.49亩),|商住混合用地,|商业40年，居住70年,|不大于4.2,|不小于30%,|不大于35%,,|522.4480,|1306.1200,,,2020/5/6 18:15,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=23834,e9151fe8c043f737ecd435353c92796e
拉公共国土挂〔2015〕22号拉萨市国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2015/11/25 0:00,|2015-25,|学府路南侧，江冲路以东、藏大路以北,|49926(合：74.00亩),|居住用地,|70,|不大于2.8,|不小于35%,|不大于25%,,|2544.22896,|6360.5724,,,2020/5/6 18:15,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=28419,e3e7b625fdeab70d849ef48870f2cf95
拉公共国土挂〔2015〕21号拉萨市国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2015/11/25 0:00,|2015-24,|书山路以北，滨河路以南,|111512(合：167.20亩),|居住用地,|70,|不大于2.4,|不小于35%,|不大于30%,,|5147.39392,|12868.4848,,,2020/5/6 18:15,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=28418,b90a4cd108a7a0df5ee2461153908bc8
拉公共国土挂〔2015〕20号拉萨市国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2015/11/25 0:00,|2015-23,|书山路以北，滨河路以南,|98534(合：147.8亩),|居住用地,|70,|不大于2.4,|不小于35%,|不大于30%,,|4311.84784,|10779.6196,,,2020/5/6 18:15,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=28417,8c03849c06a94797c3f2d7473b8b937f
拉公共国土挂〔2015〕19号拉萨市国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2015/11/25 0:00,|2015-22,|书山路以北，滨河路以南,|169448(合：254.10亩),|居住用地,|70,|不大于2.4,|不小于35%,|不大于30%,,|7618.38208,|19045.9552,,,2020/5/6 18:15,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=28416,8d41dc48678500701b6531912f102b29
拉公共国土挂〔2015〕23号拉萨市国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2015/11/25 0:00,|2015-26,|滨河路以北,|181905(合：273.00亩),|居住用地,|70,|不大于2.8,|不小于35%,|不大于25%,,|9269.8788,|23174.6970,,,2020/5/6 18:15,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=28415,fb347855fc7f9ab21d55b9fcc634e801
拉公共国土挂〔2015〕29号拉萨市国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2015/12/4 0:00,|2015-31,|纳金路以北、热嘎曲果路以西,|2638平方米（合4亩）,|商业用地,|40,|不大于2.0,|不小于20%,|不大于50%,,|158.28,|395.7,,,2020/5/6 18:15,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=29494,ac9960489bf4a98d9beee16e047590d5
拉公共国土挂〔2015〕28号拉萨市国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2015/12/4 0:00,|2015-31,|318国道以南，蔡公堂寺以西,|38236.6平方米（合57.4亩）,|居住用地,|70,|不大于2.0,|不小于35%,|不大于30%,,|1720.6470,|4301.6175,,,2020/5/6 18:15,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=29493,acf9375ebf133884695e1c93c64fe39f
拉公共国土挂〔2015〕26号拉萨市国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2015/12/4 0:00,|2015-29,|318国道以南，蔡公堂寺以西,|45189.6平方米（合67.8亩）,|商业用地,|40,|不大于3.5,|不小于30%,|不大于35%,,|1897.9632,|4744.9080,,,2020/5/6 18:15,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=29491,167d3598686890d5e6549c3d9591ebd0
拉公共国土挂〔2015〕25号拉萨市国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2015/12/4 0:00,|2015-28,|318国道以南，蔡公堂寺以西,|52790.7平方米（合79.2亩）,|商业用地,|40,|不大于3.5,|不小于30%,|不大于35%,,|2692.32572,|6730.8143,,,2020/5/6 18:15,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=29490,a2c3acfb4e51d2881d8b9a4faa1450f8
拉公共国土挂〔2015〕24号拉萨市国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2015/12/4 0:00,|2015-27,|318国道以南，蔡公堂寺以西,|147627.8平方米（合221.4亩）,|商业用地,|40,|不大于3.5,|不小于30%,|不大于35%,,|7529.0178,|18822.5445,,,2020/5/6 18:15,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=29489,d357649b8dbf77ba2345d2604678961c
拉公共国土挂〔2015〕31号拉萨市国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2015/12/21 0:00,|2015-21,|柳梧新区海湾路（1-7）路以西（C-09-01）,|40639平方米（60.958亩）,|工业用地,|50,|不大于0.8,|不小于40%,|不大于30%,,|1072.8696,|2682.1740,,,2020/5/6 18:15,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=29587,329995c078679e25589d1ddd9b143a22
拉公共国土挂〔2015〕30号拉萨市国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2015/12/21 0:00,|2015-17,|劳动路以北、东三路以西,|6469平方米（合9.7亩）,|居住用地,|70,|不大于2.0,|不小于35%,|不大于30%,,|175.9568,|439.8920,,,2020/5/6 18:15,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=29586,16341e32cb96365e690755ad17851a7f
拉公共国土挂〔2016〕1号拉萨市国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2016/3/17 0:00,|2016-10,|拉萨市经济技术开发区A区格桑路以东，塔杰路以北，维色路以西，广州路以南,|71336,|工业,|50,|不低于1.0,|15%—20%,|不低于35%,,|1072.8935,|2682.2336,,,2020/5/6 18:15,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=32217,bc0f42d9bb32e1fa357b620f0c698cf7
拉公共国土挂〔2016〕2号拉萨市国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2016/3/17 0:00,|2016-11,|拉萨市经济技术开发区B区拉青东四路以南，B区北环路以西，园区南路以北，乃岗路以东,|93338,|工业,|50,|不低于1.0,|15%—20%,|不低于35%,,|1403.8035,|3509.5088,,,2020/5/6 18:15,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=32216,1114b7c049b4f98f96f9015e7f1b0126
拉公共国土挂〔2016〕3号拉萨市国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2016/3/17 0:00,|2016-12,|拉萨市经济技术开发区A区格桑路以南，西藏五彩金幡实业有限公司用地以北，开发区税务局用地以西，西藏金泰工贸有限公司用地以西北,|14000,|商业,|40,|不高于4.0,|不低于30%,|不低于35%,,|594.7200,|1486.8000,,,2020/5/6 18:15,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=32215,8aaefa6f002d0878df5b9b0357a07f6f
拉公共国土挂〔2016〕4号拉萨市国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2016/3/17 0:00,|2016-13,|拉萨市经济技术开发区A区苏州路以北，扎西路以东，西藏金凯新能源有限公司用地以西，西藏圣华堂有限公司用地以南,|13333,|商业,|40,|不高于4.0,|不低于30%,|不低于35%,,|566.3858,|1415.9646,,,2020/5/6 18:15,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=32214,352fd6b2c32566b2feba2374425ccb7b
西藏文化旅游创意园区管委会国有建设用地使用权挂牌出让公告(拉文创管挂〔2017〕7号),拉萨市公共资源交易中心,2017/11/25 21:51,|2017-08|2017-09|1、 其它说明：建筑限高、建筑退线、建筑间距、抗震烈度、机动车出入口等严格按照市城乡规划局下发的《规划设计条件》执行 2、本公告自2017年11月25日起 2017年12月14日止。挂牌期自2017年12月15日至12月24日下午16:30分止,|静思路以南，灵居路以北|静思路以南，灵居路以北,|59440|20000,|居住用地|居住用地,|居住：70年|居住：70年,|不大于1.8|不大于1.8,|不小于35%|不小于35%,|不大于30%|不大于30%,|不大于32米|不大于50米,|1859.2832|625.6000,|4648.2080|1564.0000,,,2020/5/6 18:15,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=46569,876833b9037684cbe15063697dd53700
拉萨市国有建设用地使用权拍卖出让公告（拉公共国土拍〔2017〕1号）,拉萨市公共资源交易中心,2017/10/17 17:37,,|城关区教育城书山路以南，百淀东路以西|城关区教育城书山路以南，丹墨路以东|城关区教育城百淀大道以北，,|32634平方米|46562平方米|92417平方米,,|70年|70年|70年,|不大于2.4|不大于2.4|不大于2.4,|不小于35|不小于35|不小于35,|不大于30|不大于30|不大于30,|不高于40|不高于40|不高于40,|44904384元|64777055元|130862472元,|56130480元|80971318元|163578090元,|100万元|100万元|100万元,：|建筑退让、建筑间距、机动车出口等严格按照《规划设计条件》执行。|建筑退让、建筑间距、机动车出口等严格按照《规划设计条件》执行。|① 该宗地必须配套建设幼儿园一所。,2020/5/6 18:15,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=46156,be46d215ed0852183cefe53b2a5f04da
拉文创管挂〔2017〕4号西藏文化旅游创意园区管委会国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2017/8/20 12:44,|2017-07|其它说明：建筑限高、建筑退线、建筑间距、抗震烈度、机动车出入口等严格按照市城乡规划局下发的《规划设计条件》执行。,|宝平路以东CT03-49,|22826,|商业设施用地,|商业：40年,|不大于1.5,|不小于20%,|不大于50%,|不大于15米,|1457.2120,|3643.0300,,,2020/5/6 18:15,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=44970,ed55bab804f15402009c085eb5d0f099
拉公共经开挂〔2017〕4号拉萨市国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2017/6/21 17:02,|JKQ2017-7,|拉萨经济技术开发区A区林琼岗东一路以西、漕河泾路延伸段以北地块内,|33059.1,|工业,|50,|不小于1.0,|不小于20%,|不小于30%,,|498,|1243.0222,,,2020/5/6 18:15,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=43701,7ef0e67aa7d22095e8ad7149e276ad38
