文件标题,文章来源,更新时间,宗地编号,宗地坐落,面积,土地用途,出让年限,容积率,绿地率,建筑密度,建筑限高,竞买保证金,起始价,增价幅度,其他说明,爬取地址url,唯一标识,
拉萨市国有建设用地使用权挂牌出让公告,国土局、交易中心,2016/11/14 0:00,|2016-28|2016-29|2016—30|2016-31|2016-32|2016-33|2016-34|2016-35|2016-36|2016-37|2016-38|2016-39|2016-40|2016-41|2016-42|2016-43|2016-44|2016—45|2016-46|2016-47|2016-48|以上21宗土地共477703平方米（合716.55亩）|以上地块的建筑退线、建筑间距、抗震烈度、机动车出入口等严格按照《规划设计条件》执行。2、本公告自2016年11月14日起至2016年12月3日止。挂牌期自2016年12月4日至2016年12月13日下午18:00分止。,|拉萨顿珠金融产业园发展路以南，金融路以西，格桑路以北|拉萨顿珠金融产业园创业路以南，发展路以西，格桑路以东|拉萨顿珠金融产业园创业路以北，腾飞路以东，奋进路以南|拉萨顿珠金融产业园318国道以南，发展路以西，奋进路以北|拉萨顿珠金融产业园创业路以北，发展路以西，奋进路以南|拉萨顿珠金融产业园发展路以南，金融路以西，格桑路以北|拉萨顿珠金融产业园望寺路以东，格桑路以南|拉萨顿珠金融产业园格桑路以南，观山路以东|拉萨顿珠金融产业园格桑路以南，观山路以东，望寺路以西|拉萨顿珠金融产业园观山路与望寺路交接口东南侧|拉萨顿珠金融产业园金融路以东，创业路以南，腾飞路以西|拉萨顿珠金融产业园格桑路以北，腾飞路以南，金融路以东|拉萨顿珠金融产业园格桑路以西，创业路以南，腾飞路以东|拉萨顿珠金融产业园创业路以南，腾飞路以北，金融路以东|拉萨顿珠金融产业园腾飞路以南，格桑路以北，金融路以东|拉萨顿珠金融产业园318国道以南，腾飞路以东|拉萨顿珠金融产业园318国道以南，格桑路以西|拉萨顿珠金融产业园奋进路以南，格桑路以东|拉萨顿珠金融产业园望寺路以西|拉萨顿珠金融产业园望寺路以东|拉萨顿珠金融产业园318国道以南，奋进路以北，腾飞路以西|125137.7703,,,|40|40|40|40|40|40|40|40|40|40|40|40|40|40|40|40|70|70|40|40|40,|不大于2.5|不大于4.5|不大于4.5|不大于4.5|不大于4.5|不大于4.5|不大于0.8|不大于1.2|不大于4.0|不大于0.8|不大于5.0|不大于4.5|不大于4.5|不大于2.5|不大于2.5|不大于4.5|不大于2.5|不大于2.5|不大于1.2|不大于0.8|不大于4.5,|不小于25|不小于25|不小于25|不小于25|不小于25|不小于25|不小于20|不小于25|不小于25|不小于20|不小于25|不小于25|不小于25|不小于25|不小于25|不小于25|不小于35|不小于35|不小于25|不小于20|不小于25,|不大于50|不大于35|不大于35|不大于35|不大于35|不大于35|不大于40|不大于35|不大于35|不大于40|不大于35|不大于35|不大于35|不大于50|不大于50|不大于35|不大于28|不大于28|不大于35|不大于40|不大于35,|不大于24|不大于50|不大于50|不大于50|不大于50|不大于50|不大于12|不大于24|不大于60|不大于12|不大于100|不大于50|不大于50|不大于24|不大于24|不大于50|不大于50|不大于50|不高于24|不高于12|不高于50,|1321.3760|7556.4720|8505.5520|8605.2056|11047.7208|6315.6720|753.6640|4521.1520|7332.0624|1032.3968|5162.8320|5933.8733|4261.3863|1625.4720|1420.1006|7375.0747|5527.2672|2934.6463|1723.8168|927.4038|6182.0695,,|50|50|50|50|50|50|50|50|50|50|50|50|50|50|50|50|50|50|50|50|50,,2020/5/6 18:15,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=41816,aa3f1e192b695872cf5f55deaea98c2e
拉经开拍字〔2016〕4号拉萨市国有建设用地使用权拍卖出让公告,拉萨市公共资源交易中心,2016/11/22 0:00,|JKQ2016-16号,|拉萨经济技术开发区B区拉青路以东、B区北环路以北地块内,|31863平方米,,|居住70年,|不高于2.4,|不低于30,|不高于28,|不大于36,|1083.3420万元,|27083550元,|50万元,：|该宗地为47.8亩。用途为住宅，出让年限为，住宅70年。,2020/5/6 18:15,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=41881,0de063109ed5bde913a6f9d9e2d582c0
拉公共经开挂〔2016〕3号拉萨市国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2016/11/22 0:00,|JKQ2016-15|JKQ2016-17,|拉萨经济技术开发区B区柳东路以东、园区南路以北、B区南环路以南地块内|拉萨经济技术开发区A区漕河泾路以北、林琼岗东一路以西地块内,|64666.67|6667,|工业|商业,|50|40,|不低于1.0|不大于2.0,|15%—20%|不小于30%,|不低于35%|不大于50%,,|982.9825|311.2156,|2457.4562|778.0389,,,2020/5/6 18:15,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=41880,6bca62589263032591c07b172fd89e24
(拉公共柳梧国土挂(2016)1号)拉萨市柳梧新区国有建设用地使用权公开出让公告,柳梧,2016/12/7 0:00,|2016-（柳）3号|2016-（柳）4号|2016-（柳）5号|2016-（柳）6号|2016-（柳）7号|2016-（柳）8号|2016-（柳）9号|2016-（柳）10号,|柳梧中组团纳慧路以西、栖琼路以北、通慧路以东、南环快速通道以南|柳梧中组团栖慧大道以西、栖琼路以北、纳慧路以东、南环快速通道以南|柳梧中组团通慧路以西、云慧路以北、藏创大道以东、栖琼路以南|柳梧中组团纳慧路以西、云慧路以北、通慧路以东、栖琼路以南|柳梧中组团栖慧大道以西、云慧路以北、纳慧路以东、栖琼路以南|柳梧中组团通慧路以西、西慧路以北、藏创大道以东、云慧路以南南(G-04-02)|柳梧中组团南环快速路以北|柳梧中组团南外环快速通道以北,,,|50年|50年|50年|50年|50年|50年|50年|50年,|1.0-1.5|1.0-1.5|1.0-1.5|1.0-1.5|1.0-1.5|1.0-1.5|1.0-1.5|1.0-1.5,|不小于25%|不小于25%|不小于25%|不小于25%|不小于25%|不小于25%|不小于25%|不小于25%,|30%-60%|30%-60%|30%-60%|30%-60%|30%-60%|30%-60%|30%-60%|30%-60%,|不大于18米|不大于18米|不大于18米|不大于18米|不大于18米|不大于18米|不大于18米|不大于18米,,|8094570元|7827270元|5707900元|6690640元|7887440元|4300340元|3623730元|11245850元,|50万元|50万元|50万元|50万元|50万元|50万元|50万元|50万元,,2020/5/6 18:15,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=41986,d458bdb990969f0f27eb56ac89d41459
（拉公共柳梧国土挂〔2017〕1号）拉萨市国有建设用地使用权公开出让公告,拉萨市公共资源交易中心,2017/1/4 0:00,|2016-（柳）1号|2016-（柳）12号|2016-（柳）13号,|柳梧高新区扎德路以南、栖慧大道以东|柳梧北组团柳梧大道以东，新村北路以北|柳梧北组团柳梧大道以东，新村北路以南,,,|50年|40年|40年,|1.0-1.5|不大于1.5|不大于1.5,|不小于25%|不小于30%|不小于30%,|30%-60%|不大于40%|不大于40%,|不大于18米|不大于15米|不大于15米,,|6530058元|29245440元|12403040元,|50万元|50万元|50万元,,2020/5/6 18:15,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=42113,da73daa22164d50be8a73e01037f48ee
拉萨市国有建设用地使用权公开出让公告,拉萨市公共资源交易中心,2017/2/24 0:00,|2016-（柳）14号|2016-（柳）15号|2016-（柳）16号|2016-（柳）17号|2016-（柳）18号|2016-（柳）19号|2016-（柳）20号|2016-（柳）21号|2016-（柳）22号|2016-（柳）23号,|柳梧新区北组团世纪大道以北，察古大道以东|柳梧北组团柳梧大道延伸段南侧、武警一支队以西|柳梧新区中组团柳创路以南、栖慧大道以西|柳梧新区中组团扎德路以南、柳慧路以西|柳梧新区中组团柳南大道以东|柳梧新区中组团藏创大道以东、柳创路以南、柳慧路以西|柳梧新区中组团藏创大道以东、柳创路以南、柳慧路以西|柳梧新区中组团扎德路以南、栖慧大道以西|柳梧新区中组团扎德路以南、栖慧大道以西|柳梧新区中组团扎德路以南、栖慧大道以西,,,|商业40年；住宅70年|40年|50年|50年|50年|50年|50年|50年|50年|50年,|不大于2.4|不大于1.5|1.0-1.5|1.0-1.5|1.0-1.5|1.0-1.5|1.0-1.5|1.0-1.5|1.0-1.5|1.0-1.5,|不小于30%|不小于30%|不小于25%|不小于25%|不小于25%|不小于25%|不小于25%|不小于25%|不小于25%|不小于25%,|不小于30%|不大于40%|30%-60%|30%-60%|30%-60%|30%-60%|30%-60%|30%-60%|30%-60%|30%-60%,|不大于32米|不大于15米|不大于18米|不大于18米|不大于18米|不大于18米|不大于18米|不大于18米|不大于18米|不大于18米,,|93108760元|59911470元|5661893.1元|4960571元|2066770元|1066560元|2133440元|529239.16元|2116480.42元|3357668.48元,|50万元|50万元|50万元|50万元|50万元|50万元|50万元|50万元|50万元|50万元,,2020/5/6 18:15,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=42268,bec3a525f09277638f63e537184471f3
拉公共经开挂〔2017〕1号拉萨市国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2017/3/15 0:00,|JKQ2017-1|JKQ2017-2|JKQ2017-3|JKQ2017-4,|拉萨经济技术开发区A区林琼岗路以西、广州路以北地块内|拉萨经济技术开发区B区拉青西一路以西、B区北环路以北地块内|拉萨经济技术开发区B区乃岗路以南、拉青西一路以西地块内|拉萨经济技术开发区B区柳东路以西、西环路以南地块内,|24667|11856.9|20000|68887.2,|工业|工业|工业|仓储物流,|50|50|50|50,|不低于1.0|不低于1.0|不低于1.0|不低于1.0,|15%—20%|15%—20%|15%—20%|15%—20%,|不低于35%|不低于35%|不低于35%|不低于30%,,|372|180|301|1152,|927.59|448.1909|752.1|2879.8071,,,2020/5/6 18:15,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=42313,d5474dd23f4110795473aebb7ccd2b3c
拉萨市国有建设用地使用权挂牌出让公告（拉公共国土挂〔2017〕1号）,拉萨市公共资源交易中心,2017/5/9 0:00,|LSGT2017-7|LSGT2017-8|1、LSGT2017-7号地块建筑限高不高于15米（局部不得超过20米，超过15米部分正投影占地面积不得大于用地面积的5%）。2、LSGT2017-7号、LSGT2017-8号地块的建筑退线、建筑间距、抗震烈度、机动车出入口等严格按照《规划设计条件》执行。,|城关区东三路以东，学府路以北，会展路以西|城关区会展路以南，学府路以北，滨河路以西,,,|40|70,|不大于1.2|不大于2.0,|不小于30|不小于30,|不大于35|不大于30,|不高于15|不高于40,|1940.5809|3776.0174,,,,2020/5/6 18:15,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=42657,2e593dca67a0d7d9ed8846cd2dc42fe9
拉公共国土挂〔2015〕27号拉萨市国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2015/12/4 0:00,|2015-30,|318国道以南，蔡公堂寺以西,|52087.9平方米（合78.1亩）,|居住用地,|70,|不大于2.0,|不小于35%,|不大于30%,,|2187.6918,|5469.2295,,,2020/5/6 18:15,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=29492,eec111104a4b1d6baa20cde773f52ba1
拉公共国土挂〔2015〕7号拉萨市国有建设用地使用权挂牌出让公告,拉萨市公共资源交易中心,2015/7/23 0:00,|2015-11,|夺底路以西，规划支路以南（原市公安局国保支队）,|8243(合：12.36亩),|商业,|40年,|不大于2.2,|不小于25%,|不大于45%,,|1041.9152,|2604.7880,,,2020/5/6 18:15,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=23836,b3bdf4a1ca71de101ed804d9103e37af
