文件标题,来源,更新时间,公告时间,公告媒体,公告号,出让方式,成交时间,成交地点,地块编号,地块位置,土地用途,挂牌起始价,竞得单位,成交金额,爬取地址url,唯一标识,
国有建设用地使用权挂牌出让结果公示(拉公共国土挂〔2019〕1号),,文章来自：拉萨市公共资源交易中心,|2019年4月3日,|拉萨市公共资源交易信息网,|拉公共国土挂〔2019〕1号,|挂牌,|2019年5月25日,|拉萨市自然资源局,|LSGT2018-40,|城关区金珠西路以南，滨河北路以北。,|居住用地,|12094120,|拉萨市城市房地产开发有限公司,|12094120,2020-05-06 14:48:31,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=55316,e785b490e7097b32c15780725e9a2752,
国有建设用地使用权挂牌出让结果公示(拉公共国土挂〔2019〕1号),,文章来自：拉萨市公共资源交易中心,|2019年4月3日,|拉萨市公共资源交易信息网,|拉公共国土挂〔2019〕1号,|挂牌,|2019年5月25日,|拉萨市自然资源局,|LSGT2018-41,|城关区金珠西路以南，当雄路以西。,|居住用地,|71160640,|拉萨市城市房地产开发有限公司,|71160640,2020-05-06 14:48:31,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=55316,e785b490e7097b32c15780725e9a2752,
国有建设用地使用权挂牌出让结果公示(拉公共国土挂〔2019〕1号),,文章来自：拉萨市公共资源交易中心,|2019年4月3日,|拉萨市公共资源交易信息网,|拉公共国土挂〔2019〕1号,|挂牌,|2019年5月25日,|拉萨市自然资源局,|LSGT2019-1,|城关区贡布堂路以南，江冲路以西。,|居住用地,|30401520,|昌都市投资有限公司,|37401520,2020-05-06 14:48:31,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=55316,e785b490e7097b32c15780725e9a2752,
（拉文创管挂〔2019〕1号）2018-5国有建设用地使用权挂牌出让结果公示,,文章来自：拉萨市公共资源交易中心,|2019年2月22日,|拉萨市公共资源交易信息网,|拉文创管挂〔2019〕1号,|挂牌,|2019年4月22日,|西藏文化旅游创意园区管委会,|2018-5|2018-5国有建设用地使用权挂牌出让结果公示| （拉文创管挂〔2019〕1号）,|云天路以南、林卡路以东，(CT04-116)||,|旅游休闲用地,,,|2582.06442万元,2020-05-06 14:48:31,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=55489,c752612874dee2cf042edb5636302250,
（拉文创管挂〔2019〕2号）2018-2国有建设用地使用权挂牌出让结果公示,,文章来自：拉萨市公共资源交易中心,|2019年3月15日,|拉萨市公共资源交易信息网,|拉文创管挂〔2019〕2号,|挂牌,|2019年5月14日,|西藏文化旅游创意园区管委会,|2018-2|2018-2国有建设用地使用权挂牌出让结果公示|（拉文创管挂〔2019〕2号）,|望圣路以东、宗赞路以西			CT07-32,|旅游商业用地,,,|3159.8300万元,2020-05-06 14:48:32,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=55490,8ea8db29d4add7d12cbfedbed1ac6df1,
（拉文创管挂〔2019〕3号）2019-1国有建设用地使用权挂牌出让结果公示,,文章来自：拉萨市公共资源交易中心,|2019年3月15日,|拉萨市公共资源交易信息网,|拉文创管挂〔2019〕3号,|挂牌,|2019年5月27日,|西藏文化旅游创意园区管委会,|2019-1|2019-1国有建设用地使用权挂牌出让结果公示|（拉文创管挂〔2019〕3号）,|宝瓶路以西、文成大道以东、云天路以南CT04-34,|商业设施用地,,,|1036.95万元,2020-05-06 14:48:33,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=55491,ab54ea672ac74b71a375b12612ff0235,
（拉文创管挂〔2019〕4号）2018-13国有建设用地使用权挂牌出让结果公示,,文章来自：拉萨市公共资源交易中心,|2019年4月26日,|拉萨市公共资源交易信息网,|拉文创管挂〔2019〕4号,|挂牌,|2019年6月24日,|西藏文化旅游创意园区管委会,|2018-13|2018-13国有建设用地使用权挂牌出让结果公示|（拉文创管挂〔2019〕4号）,|静思路以南、慧谷大道以西CT05-04,|旅游商业用地,,,|2769.61万元,2020-05-06 14:48:33,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=55492,d647d02d69067fa6d3f3f757169da1b2,
拉公共国土挂〔2019〕2号LSGT2019—2号国有建设用地使用权 挂牌出让结果公示,,文章来自：拉萨市公共资源交易中心,|2019年7月5日,|拉萨市公共资源交易信息网,|拉公共国土挂〔2019〕2号,|挂牌,|2019年7月4日,|拉萨市公共资源交易中心,|LSGT2019-2号,|城关区西三路以西、加荣路以南,|居住,|31577364,|拉萨鑫凤城房地产开发有限公司,|70000000元（大写：柒仟万元整）,2020-05-06 14:48:34,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=55581,372d5bf4781b1172def43ff486bcada0,
JKQ2019-10号国有建设用地使用权挂牌出让结果公示(拉经开拍字〔2019〕1号) ,,文章来自：拉萨市公共资源交易中心,|2019年7月19日,|拉萨市公共资源交易信息网,|拉经开拍字〔2019〕1号,|拍卖,|2019年8月21日,|拉萨市公共资源交易中心,|JKQ2019-10,|拉萨经济技术开发区B区拉青路以西、B区北环路以北地块内,|二类居住,|10152.4343万元,|西藏佳禾房地产开发有限公司,|16100,2020-05-06 14:48:35,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=55932,8e366630dcb09b6b21cd12c6a79f9398,
JKQ2019-11号国有建设用地使用权挂牌出让结果公示(拉经开拍字〔2019〕1号),,文章来自：拉萨市公共资源交易中心,|2019年7月19日,|拉萨市公共资源交易信息网,|拉经开拍字〔2019〕1号,|拍卖,|2019年8月21日,|拉萨市公共资源交易中心,|JKQ2019-11,|拉萨经济技术开发区B区拉青西二路以东、波玛路以南地块内,|金融保险,|7563.1735万元,|无企业/个人报名流拍,|,2020-05-06 14:48:36,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=55933,f8ff6344c82c959406c2ce5755f0d83c,
2018-（柳）2号国有建设用地使用权挂牌出让结果公示（拉公共柳梧国土挂﹝2019﹞3号）,,文章来自：拉萨市公共资源交易中心,|2018年4月8日,|拉萨市公共资源交易信息网,|拉公共柳梧国土挂﹝2019﹞3号）,|挂牌,|　,|　,|2019-（柳）4号,|滨河大街以北、南环路以南,|公园配套商业用地,,,,2020-05-06 14:48:36,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=56412,8fb09b09078badbbfed4fa12c5e36f22,
    2018-10国有建设用地使用权挂牌出让结果公示  ,,文章来自：拉萨市公共资源交易中心,|2019年8月22日,|拉萨市公共资源交易信息网,|拉文创管挂〔2019〕5号,|挂牌,|2019年10月28日,|西藏文化旅游创意园区管委会,|2018-10|2018-10国有建设用地使用权挂牌出让结果公示|（拉文创管挂〔2019〕5 号）,|文成大道以东、宝瓶路以西CT04-36,|旅游设施用地,,,|1859.93万元,2020-05-06 14:48:38,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=57735,474e140a49be6df731fef3c9c0d6776d,
国有建设用地使用权挂牌出让结果公示(拉公共经开挂〔2019〕4号),,文章来自：拉萨市公共资源交易中心,|2020年1月15日,|拉萨市公共资源交易信息网,|拉公共经开挂〔2019〕4号,| 挂牌,| 2020年3月5日,|拉萨市公共资源交易中心,| JKQ2019-12,|拉萨经济技术开发区A林琼岗支路以南、拉萨河河堤以西,|一类工业,|1597.1573,|西藏城发莲华之宝文化发展有限公司,|1598.7533,2020-05-06 14:48:39,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=57817,fcba8033d44475c3a2db58c4a7262262,
国有建设用地使用权挂牌出让结果公示(拉公共经开挂〔2019〕4号),,文章来自：拉萨市公共资源交易中心,|2020年1月15日,|拉萨市公共资源交易信息网,| 拉公共经开挂〔2019〕4号,|挂牌,| 2020年3月15日,|拉萨市公共资源交易中心,| JKQ2019-13,|拉萨经济技术开发区B区拉青西路以西、乃岗路以北,|二类工业,|499.8404,|西藏致青实业有限责任公司,|500,2020-05-06 14:48:39,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=57817,fcba8033d44475c3a2db58c4a7262262,
拉公共自然资源〔2020〕1号LSZR2020-1号国有建设用地使用权挂牌出让结果公示,,文章来自：拉萨市公共资源交易中心,|2019年4月14日,|拉萨市公共资源交易信息网,|拉公共自然资源〔2020〕1号,|挂牌,|2020年4月11日,|拉萨市公共资源交易中心,|LSZR2020-1号,|城关区加荣路以北，西三路以西,|居住,|128630670,|拉萨碧桂园房地产开发有限公司,|220640000元（大写：贰亿贰仟零陆拾肆万元整）,2020-05-06 14:48:40,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=58960,0b035ea5a1ea081ca52242c32112cf6c,
拉公共自然资源〔2020〕1号LSZR2020-2号国有建设用地使用权挂牌出让结果公示,,文章来自：拉萨市公共资源交易中心,|2019年4月14日,|拉萨市公共资源交易信息网,|拉公共自然资源〔2020〕1号,|挂牌,|2020年4月11日,|拉萨市公共资源交易中心,|LSZR2020-2号,|城关区纳金路以南，纳金大桥以东,|居住,|197704870,|拉萨碧桂园房地产开发有限公司,|461710000元（大写：肆亿陆仟壹佰柒拾壹万元整）,2020-05-06 14:48:40,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=58961,3a910cbd419457ef9a954bc58a10232c,
拉公共自然资源挂〔2020〕4号LSZR2020-3号、4号国有建设用地使用权整体挂牌出让结果公示,,文章来自：拉萨市公共资源交易中心,|2019年4月29日,|拉萨市公共资源交易信息网,|拉公共自然资源〔2020〕4号,|挂牌,|2020年4月27日,|拉萨市公共资源交易中心,|LSZR2020-3号|LSZR2020-4号,|城关区教育城百淀东路以东，集贤路以南|城关区教育城书山路以南，百淀东路以东,|居住|商住混合(居住70%，商业30%),|555553134|71954878,|拉萨市城市房地产开发有限公司,|682510000（陆亿捌仟贰佰伍拾壹万元整）,2020-05-06 14:48:41,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=59039,1f885c87f51c49a0ae293a17115c91bf,
拉公共自然资源挂〔2020〕3号LSZR2019-5、6、7号国有建设用地使用权整体挂牌出让结果公示,,文章来自：拉萨市公共资源交易中心,|2019年4月29日,|拉萨市公共资源交易信息网,|拉公共自然资源〔2020〕3号,|挂牌,|2020年4月27日,|拉萨市公共资源交易中心,|LSZR2019-5号|LSZR2019-6号|LSZR2019-7号,|堆龙德庆区滨河路以北，柳东路以东|堆龙德庆区拉青路与滨河路交叉处|堆龙德庆区滨河路以北，乃加三路以西,|居住|商业|商业,|562284248|95649967|55234368,|拉萨市城市房地产开发有限公司,|713168583（柒亿壹仟叁佰壹拾陆万捌仟伍佰捌拾叁元整）,2020-05-06 14:48:42,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=59040,32cd09fdbf11c743d661fcebaa93a342,
JKQ2018-16号国有建设用地使用权挂牌出让结果公示(拉经开拍字〔2018〕5号),,文章来自：拉萨市公共资源交易中心,|2018年10月31日,|拉萨市公共资源交易信息网,| 拉经开拍字〔2018〕5号,| 拍卖,|2018年11月30日,|拉萨市公共资源交易中心,| JKQ2018-16,|拉萨经济技术开发区B区乃岗路以南、柳东路以东地块内,|居住,,|西藏中安房地产开发有限公司,|9700,2020-05-06 14:48:44,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=53682,50ed8a4194f66508842bbaa44c7a2c0f,
LSGT2017—19号国有建设用地使用权挂牌出让结果公示(拉公共国土挂〔2017〕5号),,文章来自：拉萨市公共资源交易中心,|2017年11月6日,|拉萨市公共资源交易信息网,|拉公共国土挂〔2017〕5号,|挂牌,|2017年12月5日,|拉萨市公共资源交易中心,|LSGT2017-19号,|城关区罗布林卡北路以北，民族路以西，北京西路以南,|二类居住用地,|63291150元,|拉萨市城关区加措社区居民委员会,|63291150元,2020-05-06 14:48:44,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=46748,0181455e02dc1ace819dabfc995b23a9,
JKQ2017-1号国有建设用地使用权挂牌出让结果公示(拉公共经开挂〔2017〕1号),,文章来自：拉萨市公共资源交易中心,|2017年3月14日,|拉萨市公共资源交易信息网,| 拉公共经开挂 〔2017〕1号,| 挂牌,| 2017年4月24日,|拉萨市公共资源交易中心,| JKQ2017-1,|拉萨经济技术开发区A区林琼岗路以西、广州路以北地块内,| 工业,|927.59,|西藏鱼跃医疗投资有限责任公司,|928,2020-05-06 14:48:45,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=42625,9e6976f557f71afb189f961b7e7eb352,
JKQ2017-1号国有建设用地使用权挂牌出让结果公示(拉公共经开挂〔2017〕1号),,文章来自：拉萨市公共资源交易中心,|2017年3月14日,|拉萨市公共资源交易信息网,| 拉公共经开挂 〔2017〕1号,| 挂牌,| 2017年4月24日,|拉萨市公共资源交易中心,| JKQ2017-2,|拉萨经济技术开发区B区拉青西一路以西、B区南环路以北地块内,| 工业,|448.1909,|西藏华顺光热能源科技有限公司,| 448.3,2020-05-06 14:48:45,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=42625,9e6976f557f71afb189f961b7e7eb352,
JKQ2017-1号国有建设用地使用权挂牌出让结果公示(拉公共经开挂〔2017〕1号),,文章来自：拉萨市公共资源交易中心,|2017年3月14日,|拉萨市公共资源交易信息网,| 拉公共经开挂 〔2017〕1号,| 挂牌,| 2017年4月24日,|拉萨市公共资源交易中心,| JKQ2017-3,|拉萨经济技术开发区B区乃岗路以南、拉青西一路以西地块内,| 工业,|752.1,|西藏三鸣饲料有限责任公司,| 752.2,2020-05-06 14:48:45,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=42625,9e6976f557f71afb189f961b7e7eb352,
JKQ2017-1号国有建设用地使用权挂牌出让结果公示(拉公共经开挂〔2017〕1号),,文章来自：拉萨市公共资源交易中心,|2017年3月14日,|拉萨市公共资源交易信息网,| 拉公共经开挂 〔2017〕1号,| 挂牌,| 2017年4月24日,|拉萨市公共资源交易中心,| JKQ2017-4,|拉萨经济技术开发区B区柳东路以西、西环路以南地块内,|仓储物流,|2879.8071,|拉萨经济技术开发区投资发展有限公司,| 2879.81,2020-05-06 14:48:45,http://ggzy.lasa.gov.cn/Article/ArticleDetail?id=42625,9e6976f557f71afb189f961b7e7eb352,
