administration,supplyLandTitle,publishTime,fileTitle,totalSupplyLand,yearSupplyPlan,industrialLand,businessLand,totalHousionSupply,low_rentLand,affordableHousing,pengGaiLand,low_rentpengGaiLand,pengGaiAffordableHousing,pengGaiCommercialHousing,commercialHousing,ortherHousingLand,publicServiceLand,transportationLand,waterAreaLand,specialLand,publicRentalLand,limitCommercialLand,mediumCommercialLand,totalCommercialLand,commercialRatio, crawlingTime, url, md5Mark, 
始兴县,始兴县2017年度国有建设用地供应计划,2017-06-23,始兴县2017年度国有建设用地供应计划,40.76公顷,2017年,0,28.42,,0,6.17,0,0,0,0,,,6.17,0,0,0,0|0,0,0,0,100%,2020-04-15 14:03:12,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586930577603&__boxModel__=true&op=page_content&sessionID=70587&pn=1,951065aba76dbc8bad4fb9b04e128a9d
佛冈县,佛冈县2016年度国有建设用地供应计划,2016-05-26,佛冈县2016年度国有建设用地供应计划,98.8公顷,2016年,37.66,14.73,,0,0,0,0,0,0,,,2.37,0,0,0,0|0,0,30.83,44.04,70.005%,2020-04-15 14:03:14,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586930580695&__boxModel__=true&op=page_content&sessionID=53162&pn=1,505e7f8fd31f611dab3ae986ce6714f5
南澳县,南澳县2017年度国有建设用地供应计划,2017-06-23,南澳县2017年度国有建设用地供应计划,48.2627公顷,2017年,0,0,,.4,0,0,0,0,0,,,42.0327,3.5,0,2,0|0,0,.33,.33,100%,2020-04-15 14:03:16,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586930579946&__boxModel__=true&op=page_content&sessionID=16389&pn=1,b90b92b90fd02401b7b7463bbb926ce7
陆河县,陆河县2015年度国有建设用地供应计划,2015-07-21,陆河县2015年度国有建设用地供应计划,94公顷,2015年,45,3,,0,0,0,0,0,0,,,27,0,0,9,.8|0,0,6.36,9.2,71.6%,2020-04-15 14:03:16,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586930581536&__boxModel__=true&op=page_content&sessionID=70948&pn=1,01fc89fc75da0dd9b66f81aeeb1286e5
阳春市,阳春市2015年度国有建设用地供应计划,2015-07-21,阳春市2015年度国有建设用地供应计划,639.3667公顷,2015年,351.4667,101.7534,,0,1,0,0,0,0,,,19.4866,0,0,0,0|0,0,155.36,165.66,93.82%,2020-04-15 14:03:21,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586930581245&__boxModel__=true&op=page_content&sessionID=24563&pn=1,3d127d00aeaa98616a5f405ea346b2ad
雷州市,雷州市2015年度国有建设用地供应计划,2015-07-21,雷州市2015年度国有建设用地供应计划,61.468公顷,2015年,12.2118,4.9,,.813,2.1632,0,0,0,0,,,36.18,0,0,0,0|0,0,5.2,5.2,100%,2020-04-15 14:03:34,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586930596534&__boxModel__=true&op=page_content&sessionID=11888&pn=1,b0e4b41f732baeca4fdcae9261fbe858
云安县,云安县2015年度国有建设用地供应计划,2015-07-21,云安县2015年度国有建设用地供应计划,72公顷,2015年,55,6,,0,0,0,0,0,0,,,5,0,0,0,0|0,0,6,6,100%,2020-04-15 14:03:34,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586930597961&__boxModel__=true&op=page_content&sessionID=78551&pn=1,9a5d64a6aa150786adbfcfd4ccdf6c94
阳山县,阳山县2015年度国有建设用地供应计划,2015-07-21,阳山县2015年度国有建设用地供应计划,492.6952公顷,2015年,170.786,18.22,,0,0,0,0,0,0,,,49.69,78.0967,57.3025,82.1,0|0,0,36.5,36.5,100%,2020-04-15 14:03:35,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586930597126&__boxModel__=true&op=page_content&sessionID=13018&pn=1,09b7821b94d4b4670644d9d1b8c11f85
东莞市本级,东莞市本级2016年度国有建设用地供应计划,2016-05-26,东莞市本级2016年度国有建设用地供应计划,1679.4786公顷,2016年,610.7947,55.2301,,0,0,0,0,0,0,,,174.2189,476.2198,23.1017,9.571,0|0,0,0,330.3424,0%,2020-04-15 14:03:55,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586930579511&__boxModel__=true&op=page_content&sessionID=45013&pn=1,d6b7c86320bd36197de3574fd6dd9c3d
始兴县,始兴县2015年度国有建设用地供应计划,2015-07-21,始兴县2015年度国有建设用地供应计划,106.05公顷,2015年,60.45,14.49,,.1,0,0,0,0,0,,,11.27,0,0,0,0|0,0,13.788,19.74,70%,2020-04-15 14:03:55,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586930598587&__boxModel__=true&op=page_content&sessionID=54591&pn=1,04c1887a827424e30478613439ac4c7b
