administration,parcelLocation,totalArea,landPurpose,signTime,projectName,projectLocation,area,landSource,supplyType,landUsegeTerm,classification,landLevel,transferPrice,issue,paymentDate,paymentAmount,remark,landHolder,plotRatioUP,plotRatioLOWER,agreedDeliveryTime,agreedStartTime,agreedCompletionTime,actualStartTime,actualCompletionTime,approvedUnit,contractTime,crawlingTime,url,md5Mark,
湛江市本级,湛江市麻章区瑞云中路以东,0.04038,其他普通商品住房用地,2016-05-06,瑞云中路“三旧”改造项目（湛江麻章广弘物业有限公司）,湛江市麻章区瑞云中路以东,0.04038,现有建设用地,协议出让,70,房地产业,房地产业土地级别：三级,73.2382,1|,2016-06-05,73.2382|, ,湛江麻章广弘物业有限公司,1,3.61,2016-07-01,2017-05-06,2019-05-06,2016-10-13,2019-11-30,湛江市人民政府,2016-05-06,2020-04-15 11:55:22,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586922912143&__boxModel__=true&op=page_content&sessionID=7096&pn=1,b8ec229129ad9eaf89ff606826ee26da,
顺德区,佛山市顺德区伦教街道办事处常教社区居民委员会新丰路高井巷5号,0.006498,其他普通商品住房用地,2017-12-12,何公燮,佛山市顺德区伦教街道办事处常教社区居民委员会新丰路高井巷5号,0.006498,现有建设用地,协议出让,70,房地产业,房地产业土地级别：一级,2.977644,1|,2018-01-11,2.977644|, ,何公燮,,,2017-12-12,2017-12-12,2017-12-12,,,佛山市顺德区人民政府,2017-12-12,2020-04-15 11:55:23,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586922912757&__boxModel__=true&op=page_content&sessionID=97216&pn=1,5127de3539904316c55f327368908e08,
茂港区,茂名市高新区西南片区,0.816975,工业用地,2019-03-06,中能源氢能科技（茂名）有限公司,茂名市高新区西南片区,0.816975,新增建设用地,挂牌出让,50,其它,其它土地级别：七级,328.432041,1|,2019-04-05,328.432041|, ,中能源氢能科技（茂名）有限公司,0.6,1.8,2019-03-06,2020-03-06,2023-03-06,,,茂名市人民政府,2019-03-06,2020-04-15 11:55:24,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586922913458&__boxModel__=true&op=page_content&sessionID=26134&pn=1,bbf9dc57ea884528204a171e2dd8e96a,
南雄市,南雄市全安镇省道342线蛇头迳村路段东侧地块三,3.96518,工业用地,2018-12-27,韶关市乐华陶瓷洁具有限公司,南雄市全安镇省道342线蛇头迳村路段东侧地块三,3.96518,新增建设用地,挂牌出让,50,其它,其它土地级别：未评估地区,505,1|,2019-01-18,505|, ,韶关市乐华陶瓷洁具有限公司,0.7,2,2019-02-17,2020-02-17,2023-02-17,,,南雄市人民政府,2018-12-27,2020-04-15 11:55:26,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586922915534&__boxModel__=true&op=page_content&sessionID=17847&pn=1,73863914a51be5b0e7407f7735ef6020,
兴宁市,神光山麓北侧,3.214484,其他普通商品住房用地,2015-09-09,国有建设用地出让,神光山麓北侧,3.214484,新增建设用地(来自存量库),挂牌出让,70,房地产业,房地产业土地级别：四级,7136.1545,1|2|,2015-10-09|2017-09-09,3568.0773|3568.0772|,  ,广东明珠健康养生有限公司,1,1.5,2016-10-18,2017-10-18,2019-10-18,2017-10-18,2019-09-10,兴宁市人民政府,2015-09-09,2020-04-15 11:55:26,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586922915997&__boxModel__=true&op=page_content&sessionID=26366&pn=1,c8f01b0626224a194328d95738c72147,
雷州市,雷州市乌石镇镇区西南部,25.30859,工业用地,2016-05-27,广东大唐国际雷州发电有限责任公司,雷州市乌石镇镇区西南部,25.30859,新增建设用地,招标出让,50,火力发电,火力发电土地级别：三级,4257,1|,2016-11-23,4257|, ,广东大唐国际雷州发电有限责任公司,0.6,1.2,2016-06-05,2016-06-10,2018-12-30,2016-06-10,,雷州市人民政府,2016-05-27,2020-04-15 11:55:27,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586922916638&__boxModel__=true&op=page_content&sessionID=63429&pn=1,83069e6c2b29d7f8735d194954cdaf13,
台山市,广东省省道高铜线台山市水步段以东“龙山”（土名）,7.655702,工业用地,2007-06-18,箱包产业,广东省省道高铜线台山市水步段以东“龙山”（土名）,7.655702,现有建设用地,协议出让,50,塑料制品业,塑料制品业土地级别：未评估地区,918.6842,1|,2007-12-15,918.6842|, ,黄照堂,0.5,,2007-06-23,2008-06-22,2010-06-22,2015-03-31,,台山市人民政府,2007-06-18,2020-04-15 11:55:30,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586922920491&__boxModel__=true&op=page_content&sessionID=65586&pn=1,22c4bf31a5037eb69701b26b71ce2320,
濠江区,汕头市达濠华侨中学东侧、西侧二侧,3.51206,科教用地,2014-01-03,达濠华侨中学扩建项目,汕头市达濠华侨中学东侧、西侧二侧,3.51206,新增建设用地(来自存量库),划拨,,教育业,教育业土地级别：六级,776.6675,,,,,汕头市达濠华侨中学,1,1,2018-11-04,2019-11-03,2020-11-03,2015-05-27,,汕头市濠江区人民政府,2014-01-03,2020-04-15 11:55:31,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586922921030&__boxModel__=true&op=page_content&sessionID=83680&pn=1,709bb0bb25282e81b780de4f1bee6c3b,
广州市本级,天河区黄埔大道广州环城高速交汇处北侧，广州环城高速东、西两侧，原东圃立交位置,12.3304,其他普通商品住房用地,2014-11-10,二类居住用地（R2）、防护绿地（G2）、城市道路用地（S1）,天河区黄埔大道广州环城高速交汇处北侧，广州环城高速东、西两侧，原东圃立交位置,12.3304,新增建设用地(来自存量库),挂牌出让,70,房地产业,房地产业土地级别：四级,505798.1325,1|2|3|4|,2014-12-10|2015-11-10|2018-10-26|2019-09-13,222837.5|222837.5|57447.1693|2675.9632|,  补充协议之一价款|补充协议之二价款|,广州佳郡置业有限公司,1,4.05,2015-11-10,2016-11-10,2019-11-10,2016-10-10,2019-01-15,广州市人民政府,2014-11-10,2020-04-15 11:55:31,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586922921654&__boxModel__=true&op=page_content&sessionID=40952&pn=1,94a6e709869dd5ff97803348fe29f2c5,
河源市本级,河源市高新区科技大道南边高新一路北边,3.009237,其他普通商品住房用地,2014-11-11,河源市鸿业建设投资有限公司,河源市高新区科技大道南边高新一路北边,3.009237,新增建设用地,挂牌出让,50,房地产业,房地产业土地级别：四级,4604.1326,1|,2015-01-10,4604.1326|, ,河源市润业建设投资有限公司,1,3.5,2018-12-10,2019-12-10,2021-12-10,,,河源市人民政府,2014-11-11,2020-04-15 11:55:32,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586922922229&__boxModel__=true&op=page_content&sessionID=96721&pn=1,8afffdb8b6bc712869c3d31513c263d2,
河源市本级,河源市规划路东边高新六路南边和谐路西边,2.633646,其他商服用地,2014-11-11,河源市润业投资有限公司,河源市规划路东边高新六路南边和谐路西边,2.633646,新增建设用地,挂牌出让,40,房地产业,房地产业土地级别：五级,4766.8993,1|,2015-01-10,4766.8993|, ,河源市润业投资有限公司,1,3.5,2018-12-10,2019-12-10,2021-12-10,,,河源市人民政府,2014-11-11,2020-04-15 11:55:35,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586922924846&__boxModel__=true&op=page_content&sessionID=37&pn=1,8e965dd06be99060c2616ed7110bbfcb,
台山市,广东省省道高铜线台山市水步段以东“龙山”（土名）,7.655702,工业用地,2007-06-18,箱包产业,广东省省道高铜线台山市水步段以东“龙山”（土名）,7.655702,现有建设用地,协议出让,50,塑料制品业,塑料制品业土地级别：未评估地区,918.6842,1|,2007-12-15,918.6842|, ,林文彬,0.5,,2007-06-23,2008-06-22,2010-06-22,2015-03-31,,台山市人民政府,2007-06-18,2020-04-15 11:55:35,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586922925526&__boxModel__=true&op=page_content&sessionID=34555&pn=1,b5d036dff6992cdb3e301e061297fb7c,
广州市本级,广州市白云区钟落潭广从路以东 （新村布丁）,6.0895,公路用地,2017-10-20,道路、绿化用地、河涌用地,广州市白云区钟落潭广从路以东 （新村布丁）,6.0895,新增建设用地,划拨,,国家机构,国家机构土地级别：六级,,,,,,广州市土地开发中心,,,,,,,,广州市人民政府,2017-10-20,2020-04-15 11:55:38,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586922927908&__boxModel__=true&op=page_content&sessionID=81995&pn=1,d560d4ecc82a33d5887f7d828d4b08e1,
河源市本级,河源市高新区兴工南路东边新陂街西边规划路北边,4.130299,其他普通商品住房用地,2014-11-11,河源市润业投资有限公司,河源市高新区兴工南路东边新陂街西边规划路北边,4.130299,新增建设用地,挂牌出让,50,房地产业,房地产业土地级别：五级,4212.905,1|,2015-01-10,4212.905|, ,河源市润业投资有限公司,1,3.5,2018-12-06,2019-12-04,2021-12-02,,,河源市人民政府,2014-11-11,2020-04-15 11:55:38,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1586922928604&__boxModel__=true&op=page_content&sessionID=97521&pn=1,35e1504b47737b4f76d141aea97e9fee,
