行政区,土地坐落,总面积(公顷),土地用途,签订日期,项目名称,项目位置,面积(公顷),土地来源,供应方式,土地使用年限,行业分类,土地级别,成交价格(万元),分期支付约定-支付期号,分期支付约定-约定支付日期,分期支付约定-约定支付金额(万元),分期支付约定-备注,土地使用权人,约定容积率下限,约定容积率上限,约定交地时间,约定开工时间,约定竣工时间,实际开工时间,实际竣工时间,批准单位,合同签订日期,爬取时间,爬取地址url,唯一标识,
高要市,金利镇北区,2.70346,工业用地,2017-09-14,肇庆长源汽车配件有限公司,金利镇北区,2.70346,新增建设用地(来自存量库),拍卖出让,50,汽车制造,汽车制造土地级别：四级,740,1|,2017-10-14,740|, ,肇庆长源汽车配件有限公司,1,2,2017-09-30,2018-09-29,2019-09-29,2018-09-29,2019-09-29,肇庆市高要区人民政府,2017-09-14,2020-04-17 10:56:41,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092190878&__boxModel__=true&op=page_content&sessionID=64964&pn=1,ce6901140552f9f7f7bbd5e3b9cf2e00,
中山市本级,沙溪镇中兴村,0.77972,其他普通商品住房用地,2011-09-27,关于中山市沙溪镇中兴村厚山股份合作经济社申请受让土地作商业住宅用地的批复,沙溪镇中兴村,0.77972,新增建设用地,协议出让,70,房地产业,房地产业土地级别：五级,35.0874,1|,2011-11-26,35.0874|, ,中山市沙溪镇中兴村厚山股份合作经济社,1,2.5,2019-03-31,2019-12-21,2021-12-21,,,中山市人民政府,2011-09-27,2020-04-17 10:56:42,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092191347&__boxModel__=true&op=page_content&sessionID=29803&pn=1,f464c2b72b19a36cd70177113462e973,
徐闻县,徐闻大道第二区R23-1号,0.0135,其他普通商品住房用地,2014-11-03,住宅用地,徐闻大道第二区R23-1号,0.0135,新增建设用地,划拨,,房地产业,房地产业土地级别：十一级,0,,,,,董溢,1,6,2019-02-03,2020-02-02,2022-02-02,,,徐闻县人民政府,2014-11-03,2020-04-17 10:56:42,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092191950&__boxModel__=true&op=page_content&sessionID=25354&pn=1,b1f84aed98aff1ad11fca0b99361d1cc,
台山市,台山市端芬镇河滨区一号,2.142826,其他普通商品住房用地,2011-11-15,房地产,台山市端芬镇河滨区一号,2.142826,现有建设用地,挂牌出让,商务金融用地40年; 其他普通商品住房用地70,房地产业,房地产业土地级别：未评估地区,1380,1|,2011-11-25,1380|, ,台山市荣富房地产开发有限公司,1,2.1,2018-09-29,2019-09-28,2020-09-28,,,台山市人民政府,2011-11-15,2020-04-17 10:56:43,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092192632&__boxModel__=true&op=page_content&sessionID=912&pn=1,f31ba567b0bdc0f18a48924577504b3b,
潮州市本级,湘桥区意东三路南段,9.333334,其他普通商品住房用地,2015-12-29,湘桥区意东三路南段QD-6地块国有土地使用权挂牌出让项目,湘桥区意东三路南段,9.333334,现有建设用地,挂牌出让,其他普通商品住房用地70年; 科教用地50,房地产业,房地产业土地级别：一级,40600,1|,2016-01-28,40600|, ,潮州市韩东新区建设投资开发有限公司,1,3.5,2019-01-28,2020-01-28,2023-01-28,,,潮州市人民政府,2015-12-29,2020-04-17 10:56:44,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092193262&__boxModel__=true&op=page_content&sessionID=78865&pn=1,215c779cb98f1261475ef90399cecc22,
电白区,电白区南方商业城西区十行53号,0.0088,其他普通商品住房用地,2018-01-24,茂名市财政局,电白区南方商业城西区十行53号,0.0088,现有建设用地,协议出让,70,房地产业,房地产业土地级别：七级,9.34,1|,2018-02-23,9.34|, ,茂名市财政局,1,,,,,,,电白区人民政府,2018-01-24,2020-04-17 10:56:44,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092193860&__boxModel__=true&op=page_content&sessionID=4380&pn=1,c6f3f2b22e3bd3055b186557bb2a29ee,
新丰县,云髻山西坑首期,6.8,其他普通商品住房用地,2015-07-17,住宅用地,云髻山西坑首期,6.8,现有建设用地,挂牌出让,其他商服用地40年; 其他普通商品住房用地70,房地产业,房地产业土地级别：八级,2272,1|2|,2015-08-14|2015-09-14,1137|1135|,  ,广东云髻山温泉度假山庄有限公司,1,1.2,2015-09-26,2015-11-26,2017-11-26,2016-04-05,2017-11-16,新丰县人民政府,2015-07-17,2020-04-17 10:56:45,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092194604&__boxModel__=true&op=page_content&sessionID=79012&pn=1,20f3df5226908d61fb926f83605a216f,
清远市本级,清远高新技术产业开发区莲湖高新技术产业园,2.134197,其他普通商品住房用地,2015-03-16,清远市经济开发区嘉盈投资开发有限公司,清远高新技术产业开发区莲湖高新技术产业园,2.134197,新增建设用地,挂牌出让,70,房地产业,房地产业土地级别：八级,3430,1|,2015-04-15,3430|, ,清远市经济开发区嘉盈投资开发有限公司,1,2.5,2018-09-29,2019-09-29,2021-09-29,,,广东清远高新技术产业开发区管理委员会（市政府授权）人民政府,2015-03-16,2020-04-17 10:56:45,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092195254&__boxModel__=true&op=page_content&sessionID=47636&pn=1,8c73be306ffeabf8c0955ace4ae52e22,
雷州市,雷州上坡新村,0.0055,中低价位、中小套型普通商品住房用地,2011-08-16,李俊贤,雷州上坡新村,0.0055,现有建设用地,协议出让,70,房屋和土木工程业,房屋和土木工程业土地级别：四级,2.6246,1|,2011-08-16,2.6246|, ,李俊贤,,,2011-08-16,2011-07-25,2012-07-25,,,雷州市人民政府,2011-08-16,2020-04-17 10:56:46,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092195704&__boxModel__=true&op=page_content&sessionID=61637&pn=1,2c1d98323fbde8f9e7f47fe70f067e17,
顺德区,龙江镇大坝工业基地E07地块,11.543277,工业用地,2007-06-29,龙江佛山市顺德区粤海装饰配套工程有限公司厂房,龙江镇大坝工业基地E07地块,11.543277,现有建设用地,协议出让,50,家具制造业,家具制造业土地级别：三级,2539.5209,1|,2007-07-29,2539.5209|, ,佛山市顺德区粤海装饰配套工程有限公司,1.2,2,2007-06-30,2018-05-13,2020-05-12,,,佛山市人民政府,2007-06-29,2020-04-17 10:56:46,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092196382&__boxModel__=true&op=page_content&sessionID=34392&pn=1,6fda440207cc546115b6823c732e51dc,
雷州市,雷州市全茂开发二区,0.0081,中低价位、中小套型普通商品住房用地,2010-07-09,张朝豪,雷州市全茂开发二区,0.0081,现有建设用地,协议出让,70,房屋和土木工程业,房屋和土木工程业土地级别：三级,0.852,1|,2010-07-09,0.852|, ,张朝豪,,,2010-07-09,2010-07-09,2011-07-09,,,,2010-07-09,2020-04-17 10:56:47,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092197096&__boxModel__=true&op=page_content&sessionID=49232&pn=1,4d7aea381efb6803ffdb5b6fad49279b,
梅江区,江南办新中苑,0.002177,其他普通商品住房用地,2010-07-09,黄春莲,江南办新中苑,0.002177,现有建设用地,协议出让,70,房地产业,房地产业土地级别：一级,0.2945,1|,2010-07-09,0.2945|, ,黄春莲,,,2010-07-09,2011-07-09,2014-07-09,,,梅州市人民政府,2010-07-09,2020-04-17 10:56:48,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092197812&__boxModel__=true&op=page_content&sessionID=38748&pn=1,f5c7deea0b2d73a35d1439dba3e38733,
顺德区,佛山市顺德区陈村镇旧圩居委会瑞安里7号,0.003576,其他普通商品住房用地,2010-07-12,住宅用途用地,佛山市顺德区陈村镇旧圩居委会瑞安里7号,0.003576,现有建设用地,协议出让,70,房地产业,房地产业土地级别：一级,0.7215,1|,2010-09-10,0.7215|, ,麦结梅,2,,2010-07-12,2010-07-12,2010-07-12,,,佛山市人民政府,2010-07-12,2020-04-17 10:56:48,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092198500&__boxModel__=true&op=page_content&sessionID=61084&pn=1,7926c75b8c75b8aa2ef8df4d45148ccd,
中山市本级,中山市港口镇石特社区,0.25615,工业用地,2011-05-05,工业建设用地,中山市港口镇石特社区,0.25615,新增建设用地,挂牌出让,50,棉、化纤纺织及印染精加工,棉、化纤纺织及印染精加工土地级别：四级,98.3629,1|,2011-05-15,98.3629|, ,中山市丽淦时装制衣有限公司,0,1.2,2011-05-26,2011-11-22,2013-05-15,2011-11-22,,中山市人民政府,2011-05-05,2020-04-17 10:56:49,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092199061&__boxModel__=true&op=page_content&sessionID=98942&pn=1,f9f87f8d2e1d298f59872fb21f2f8ba8,
阳江市本级,市区高凉路南,2.5544,其他普通商品住房用地,2012-03-14,农民留用地,市区高凉路南,2.5544,现有建设用地,划拨,,社会保障业,社会保障业土地级别：四级,0,,,,,阳江市中冠房地产开发有限公司,1,2,2018-11-12,2019-11-12,2022-11-12,,,阳江市人民政府,2012-03-14,2020-04-17 10:56:49,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092199616&__boxModel__=true&op=page_content&sessionID=32473&pn=1,43e3b587f93d99d053746134bb919373,
蕉岭县,新铺镇新福路16-17号之间,0.003231,其他住房用地,2009-05-07,住宅,新铺镇新福路16-17号之间,0.003231,现有建设用地,协议出让,70,房屋和土木工程业,房屋和土木工程业土地级别：一级,0.2124,1|,2009-05-17,0.2124|, ,邓国标,1,,2009-05-07,2009-05-07,2009-05-07,,,蕉岭县人民政府,2009-05-07,2020-04-17 10:56:50,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092200272&__boxModel__=true&op=page_content&sessionID=50411&pn=1,cbe839f2e6b2d49f67147891433138c7,
中山市本级,中山市火炬开发区马安村,11.4831,工业用地,2010-12-31,纺织专用设备制造,中山市火炬开发区马安村,11.4831,新增建设用地(来自存量库),挂牌出让,50,其它,其它土地级别：五级,4409.6,1|,2011-01-30,4409.6|, ,立信染整机械（广东）有限公司,0.8,2.5,2011-02-21,2011-08-20,2013-02-10,2011-08-20,2015-07-16,中山市人民政府,2010-12-31,2020-04-17 10:56:50,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092200726&__boxModel__=true&op=page_content&sessionID=95022&pn=1,a5f7bfed3abdd14ca425baa7463c974a,
新会区,司前镇天等社区居委会龙田前（土名）,0.1919,工业用地,2007-06-20,工业厂房,司前镇天等社区居委会龙田前（土名）,0.1919,新增建设用地(来自存量库),协议出让,50,金属制品业,金属制品业土地级别：二级,26.37,1|,2007-06-20,26.37|, ,李发伦,0.4,,2007-07-20,2007-12-20,2009-06-20,2007-11-22,2008-08-06,江门市人民政府,2007-06-20,2020-04-17 10:57:02,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092211353&__boxModel__=true&op=page_content&sessionID=24350&pn=1,9863cd33615d7b8951e3919d1111d56e,
深圳市本级,福田区园岭街道,0.32117,公共设施用地,2011-01-07,110KV燕南变电站,福田区园岭街道,0.32117,现有建设用地,协议出让,50,其它,其它土地级别：一级,32.1165,1|,2011-01-07,32.1165|, ,广东电网公司,,0.88,2014-12-02,2016-11-30,2017-12-02,2012-03-12,2018-11-02,深圳市人民政府,2011-01-07,2020-04-17 10:57:02,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092211943&__boxModel__=true&op=page_content&sessionID=17089&pn=1,4031e3078b64458bff84971267e41065,
南海区,佛山市南海区狮山镇穆院村原罗村果牧场,1.31259,工业用地,2011-01-11,工业,佛山市南海区狮山镇穆院村原罗村果牧场,1.31259,现有建设用地,挂牌出让,50,金属制品业,金属制品业土地级别：五级,671.76,1|,2011-01-31,671.76|, ,佛山市澳斯达卫浴实业有限公司,0.8,100000,2011-01-11,2012-01-11,2013-01-11,2012-11-30,,佛山市人民政府,2011-01-11,2020-04-17 10:57:04,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092212648&__boxModel__=true&op=page_content&sessionID=35577&pn=1,5fd53b669c94b4038bfbcea60d27c1a7,
中山市本级,中山市火炬开发区马安村,5.64769,工业用地,2011-01-25,金属压力容器制造,中山市火炬开发区马安村,5.64769,现有建设用地,挂牌出让,50,金属制品业,金属制品业土地级别：五级,2168.8,1|,2011-02-24,2168.8|, ,广东中泽重工有限公司,0.8,,2011-03-16,2011-09-12,2013-03-05,2011-09-12,,中山市人民政府,2011-01-25,2020-04-17 10:57:05,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092213315&__boxModel__=true&op=page_content&sessionID=43209&pn=1,63f24e71d9f44802cf719457152bf08e,
中山市本级,中山市火炬开发区马安村,10,工业用地,2011-01-28,金属制品业,中山市火炬开发区马安村,10,新增建设用地(来自存量库),挂牌出让,50,金属制品业,金属制品业土地级别：一级,3840.1,1|,2011-03-09,3840.1|, ,泰钢合金（中山）有限公司,0.8,,2011-03-29,2011-09-26,2013-03-18,2012-11-06,2014-07-25,中山市人民政府,2011-01-28,2020-04-17 10:57:05,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092214590&__boxModel__=true&op=page_content&sessionID=59063&pn=1,0831f025bea38b4f766ca98436d2ee6e,
揭东县,玉湖镇玉联村虎山顶,0.92108,其他普通商品住房用地,2011-01-27,揭东县粮食局玉湖粮食管理所,玉湖镇玉联村虎山顶,0.92108,现有建设用地,协议出让,70,房地产业,房地产业土地级别：十四等级,55.2648,1|,2011-03-28,55.2648|, ,揭东县粮食局玉湖粮食管理所,,,2011-01-27,,,,,揭东县人民政府,2011-01-27,2020-04-17 10:57:05,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092213948&__boxModel__=true&op=page_content&sessionID=66155&pn=1,e5a36449c4d4e788fc81759b2fc1d80b,
深圳市本级,罗湖区,123.8905,公路用地,2011-01-31,东部过境高速公路（一期工程）高架段,罗湖区,123.8905,新增建设用地,划拨,,道路运输业,道路运输业土地级别：一级,,,,,,深圳华昱投资开发（集团）有限公司,,,2014-05-09,2016-05-07,2020-05-08,2016-06-01,,深圳市人民政府,2011-01-31,2020-04-17 10:57:06,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092215076&__boxModel__=true&op=page_content&sessionID=18056&pn=1,ae75596d5bfe04c8441c9fb297479df7,
韶关市本级,韶关市武江区莞韶产业园新323线南侧17-1号,0.7448,工业用地,2014-03-25,韶关市武江区莞韶产业园新323线南侧17-1号地块,韶关市武江区莞韶产业园新323线南侧17-1号,0.7448,新增建设用地(来自存量库),挂牌出让,50,零售业,零售业土地级别：四级,223,1|,2014-04-24,223|, ,韶关市丹雪电子科技有限公司,0.8,2,2014-04-16,2016-04-15,2017-10-14,2017-06-07,2019-12-03,韶关市人民政府,2014-03-25,2020-04-17 10:57:07,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092215837&__boxModel__=true&op=page_content&sessionID=77302&pn=1,155ae9ea0ba1e269d1b36eeb60c041fe,
珠海市本级,南屏南湾大道西、北二路南侧,5,商务金融用地,2014-04-02,珠林房产有限公司工业用地为商业、酒店、办公用地,南屏南湾大道西、北二路南侧,5,新增建设用地(来自存量库),协议出让,40,商务服务业,商务服务业土地级别：一级,16724.52,1|,2014-04-02,16724.52|, ,珠海经济特区珠林房产有限公司,1,1.8,2014-04-02,2019-01-26,2021-01-26,2019-01-16,,珠海市国土资源局人民政府,2014-04-02,2020-04-17 10:57:08,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092216832&__boxModel__=true&op=page_content&sessionID=33046&pn=1,0841d58e6a7f615283bc0f4d702432a6,
阳江市本级,市区石湾北路东、振兴路南（原阳江高新区随垌用地）内,0.3873,其他普通商品住房用地,2014-03-26,留用地,市区石湾北路东、振兴路南（原阳江高新区随垌用地）内,0.3873,新增建设用地(来自存量库),划拨,,社会保障业,社会保障业土地级别：三级,36.5108,,,,,阳江市江城区城北街马曹村下寨经济合作社,1,2,2018-11-12,2019-11-12,2022-11-12,,,阳江市人民政府,2014-03-26,2020-04-17 10:57:08,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092216574&__boxModel__=true&op=page_content&sessionID=92702&pn=1,20e148559b10d046a059b7c58a9e170e,
