行政区,土地坐落,总面积(公顷),土地用途,签订日期,项目名称,项目位置,面积(公顷),土地来源,供应方式,土地使用年限,行业分类,土地级别,成交价格(万元),分期支付约定-支付期号,分期支付约定-约定支付日期,分期支付约定-约定支付金额(万元),分期支付约定-备注,土地使用权人,约定容积率下限,约定容积率上限,约定交地时间,约定开工时间,约定竣工时间,实际开工时间,实际竣工时间,批准单位,合同签订日期,爬取时间,爬取地址url,唯一标识,
五华县,横陂镇红光村,0.005204,批发零售用地,2007-07-11,陈天锡.陈林叨,横陂镇红光村,0.005204,现有建设用地,协议出让,50,零售业,零售业土地级别：十二级,0.4788,1|,2007-07-11,0.4788|, ,陈天锡.陈林叨,,,2007-07-11,2007-07-11,2007-07-11,,,五华县人民政府,2007-07-11,2020-04-17 10:57:24,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092234463&__boxModel__=true&op=page_content&sessionID=40793&pn=1,8d54141a8c3bb514dac8b9ee513805e1,
博罗县,福田镇山下村东边组瓦窑口,0.1404,中低价位、中小套型普通商品住房用地,2007-07-20,房地产项目,福田镇山下村东边组瓦窑口,0.1404,现有建设用地,挂牌出让,70,房地产业,房地产业土地级别：三级,75,1|,2007-07-30,75|, ,福田镇山下村东边组瓦窑口,,2.1,2007-07-20,2008-01-20,2010-07-20,2008-01-20,2009-06-12,博罗县人民政府,2007-07-20,2020-04-17 10:57:25,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092235127&__boxModel__=true&op=page_content&sessionID=97315&pn=1,92661c9ed9fa9dd7ee57536eb8c854f6,
梅江区,江南办富奇路,0.0051,其他住房用地,2007-08-03,叶干明,江南办富奇路,0.0051,现有建设用地,协议出让,70,房地产业,房地产业土地级别：二级,3.7434,1|,2007-08-03,3.7434|, ,叶干明,,,,2009-06-09,2009-06-09,,,,2007-08-03,2020-04-17 10:57:26,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092235568&__boxModel__=true&op=page_content&sessionID=91561&pn=1,674c4fa5759648be504937ebf16e83d2,
南海区,大沥镇盐步城区跃进路以西,0.116892,工业用地,2007-08-15,工业用地,大沥镇盐步城区跃进路以西,0.116892,现有建设用地,协议出让,50,房屋和土木工程业,房屋和土木工程业土地级别：四级,15.7103,1|,2007-10-14,15.7103|, ,佛山市南海盐步建筑工程公司,,,2007-10-14,,,,,佛山市人民政府,2007-08-15,2020-04-17 10:57:26,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092236275&__boxModel__=true&op=page_content&sessionID=4239&pn=1,b1cbfb60b70cfc876f0a2bbcae95e160,
阳江市本级,市区三路北侧,0.5977,其他商服用地,2007-09-03,商业,市区三路北侧,0.5977,现有建设用地,挂牌出让,40,房地产业,房地产业土地级别：五级,137.5,1|,2007-09-18,137.5|, ,黄勃,,1.8,2007-09-03,2008-09-03,2009-09-03,2007-09-11,2009-07-30,阳江市人民政府,2007-09-03,2020-04-17 10:57:27,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092236789&__boxModel__=true&op=page_content&sessionID=2825&pn=1,e83b5c7fb00a20c881d4f9fd1ec60249,
梅州市本级,江南团结路,0.04082,其他住房用地,2007-09-28,出让,江南团结路,0.04082,新增建设用地(来自存量库),协议出让,70,银行业,银行业土地级别：一级,0.2422,1|,2007-10-28,0.2422|, ,李从锦,,,2007-09-28,2008-09-28,2011-09-28,,,梅州市人民政府,2007-09-28,2020-04-17 10:57:28,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092237707&__boxModel__=true&op=page_content&sessionID=30084&pn=1,76506fdafcb2749ce363c7c1d8eff073,
南海区,九江镇沙头城区万安门街11号,0.00676,其他普通商品住房用地,2007-09-30,城镇住宅用地,九江镇沙头城区万安门街11号,0.00676,现有建设用地,协议出让,70,房地产业,房地产业土地级别：一级,3.2217,1|,2007-11-29,3.2217|, ,老其林,,,2007-09-30,,,,,佛山市人民政府,2007-09-30,2020-04-17 10:57:28,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092238146&__boxModel__=true&op=page_content&sessionID=57531&pn=1,853721ed353e8243f371a271c1322dc2,
南海区,南海区狮山镇狮北村"松岗",1.31616,工业用地,2007-10-19,工业用地,南海区狮山镇狮北村"松岗",1.31616,现有建设用地,划拨,,农业,农业土地级别：未评估地区,,,,,,南海区狮山镇狮北村根溪村民小组,0,2,2007-10-19,2008-10-19,2009-10-19,2008-10-07,2009-10-15,佛山市人民政府,2007-10-19,2020-04-17 10:57:29,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092238869&__boxModel__=true&op=page_content&sessionID=36483&pn=1,efa3349b9a62606f75fe71408244e2bd,
高州市,高州市大井镇大井圩东区,0.009,其他普通商品住房用地,2007-11-19,湛瑞辉,高州市大井镇大井圩东区,0.009,现有建设用地,协议出让,70,居民服务业,居民服务业土地级别：二级,0.4104,1|,2007-11-19,0.4104|, ,湛瑞辉,,,,,,,,高州市人民政府,2007-11-19,2020-04-17 10:57:29,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092239293&__boxModel__=true&op=page_content&sessionID=11556&pn=1,b4b6f4081a827d3ac7231e17c750dd85,
中山市本级,南朗镇（翠亨新区起步区）西一围,2.59532,公路用地,2019-11-12,和盈路二段,南朗镇（翠亨新区起步区）西一围,2.59532,新增建设用地,划拨,,道路运输业,道路运输业土地级别：五级,0,,,,,中山翠亨新区财政金融局,,,2020-05-11,2021-05-11,2024-05-11,,,中山市人民政府,2019-11-12,2020-04-17 10:57:30,http://jcjg.nr.gd.gov.cn:8088/GisqReport7.0/ReportServer?_=1587092239744&__boxModel__=true&op=page_content&sessionID=28204&pn=1,37c0238ff4e07b24020bdefc968b5e88,
